tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Stranger Things,1,1,Chapter One: The Vanishing of Will Byers,"Jul 15, 2016",8.5,20907,"At the U.S. Dept. of Energy an unexplained event occurs. Then when a young Dungeons and Dragons playing boy named Will disappears after a night with his friends, his mother Joyce and the town of Hawkins are plunged into darkness.",https://www.imdb.com/title/tt4593118/,tt4574334,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
Stranger Things,1,2,Chapter Two: The Weirdo on Maple Street,"Jul 15, 2016",8.4,18632,Mike hides the mysterious girl in his house. Joyce gets a strange phone call.,https://www.imdb.com/title/tt4593122/,tt4574334,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
Stranger Things,1,3,"Chapter Three: Holly, Jolly","Jul 15, 2016",8.8,18552,An increasingly concerned Nancy looks for Barb and finds out what Jonathan's been up to. Joyce is convinced Will is trying to talk to her.,https://www.imdb.com/title/tt4593126/,tt4574334,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
Stranger Things,1,4,Chapter Four: The Body,"Jul 15, 2016",8.9,18224,"Refusing to believe Will is dead, Joyce tries to connect with her son. The boys give Eleven a makeover. Jonathan and Nancy form an unlikely alliance.",https://www.imdb.com/title/tt4593124/,tt4574334,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
Stranger Things,1,5,Chapter Five: The Flea and the Acrobat,"Jul 15, 2016",8.7,17253,"Hopper breaks into the lab to find the truth about Will's death. The boys try to locate the ""gate"" that will take them to Will.",https://www.imdb.com/title/tt4593128/,tt4574334,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
Stranger Things,1,6,Chapter Six: The Monster,"Jul 15, 2016",8.8,17122,"Hopper and Joyce find the truth about the lab's experiments. After their fight, the boys look for the missing Eleven.",https://www.imdb.com/title/tt4593132/,tt4574334,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
Stranger Things,1,7,Chapter Seven: The Bathtub,"Jul 15, 2016",9.0,17858,The government comes searching for Eleven. Eleven looks for Will and Barb in the Upside Down.,https://www.imdb.com/title/tt4593134/,tt4574334,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
Stranger Things,1,8,Chapter Eight: The Upside Down,"Jul 15, 2016",9.3,21172,Joyce and Hopper are taken in for questioning. Nancy and Jonathan prepare to fight the monster and save Will.,https://www.imdb.com/title/tt4593138/,tt4574334,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
Stranger Things,2,1,Chapter One: MADMAX,"Oct 27, 2017",8.2,16588,"As the town preps for Halloween, a high-scoring rival shakes things up at the arcade, and a skeptical Hopper inspects a field of rotting pumpkins.",https://www.imdb.com/title/tt6020684/,tt4574334,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
Stranger Things,2,2,"Chapter Two: Trick or Treat, Freak","Oct 27, 2017",8.3,15424,"After Will sees something terrible on trick-or-treat night, Mike wonders whether Eleven's still out there. Nancy wrestles with the truth about Barb.",https://www.imdb.com/title/tt6020792/,tt4574334,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
Stranger Things,2,3,Chapter Three: The Pollywog,"Oct 27, 2017",8.6,15118,"Dustin adopts a strange new pet, and Eleven grows increasingly impatient. A well-meaning Bob urges Will to stand up to his fears.",https://www.imdb.com/title/tt6020796/,tt4574334,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
Stranger Things,2,4,Chapter Four: Will the Wise,"Oct 27, 2017",8.6,14891,"An ailing Will opens up to Joyce -- with disturbing results. While Hopper digs for the truth, Eleven unearths a surprising discovery.",https://www.imdb.com/title/tt6020802/,tt4574334,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
Stranger Things,2,5,Chapter Five: Dig Dug,"Oct 27, 2017",8.8,15257,"Nancy and Jonathan swap conspiracy theories with a new ally as Eleven searches for someone from her past. ""Bob the Brain"" tackles a difficult problem.",https://www.imdb.com/title/tt6020806/,tt4574334,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
Stranger Things,2,6,Chapter Six: The Spy,"Oct 27, 2017",9.1,16343,"Will's connection to a shadowy evil grows stronger but no one's quite sure how to stop it. Elsewhere, Dustin and Steve forge an unlikely bond.",https://www.imdb.com/title/tt6020808/,tt4574334,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
Stranger Things,2,7,Chapter Seven: The Lost Sister,"Oct 27, 2017",6.1,23696,Psychic visions draw Eleven to a band of violent outcasts and an angry girl with a shadowy past.,https://www.imdb.com/title/tt6020810/,tt4574334,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
Stranger Things,2,8,Chapter Eight: The Mind Flayer,"Oct 27, 2017",9.2,17882,"An unlikely hero steps forward when a deadly development puts the Hawkins lab on lockdown, trapping Will and several others inside.",https://www.imdb.com/title/tt6020812/,tt4574334,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
Stranger Things,2,9,Chapter Nine: The Gate,"Oct 27, 2017",9.3,20178,Eleven makes plans to finish what she started while the survivors turn up the heat on the monstrous force that's holding Will hostage.,https://www.imdb.com/title/tt6020876/,tt4574334,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
Stranger Things,3,1,"Chapter One: Suzie, Do You Copy?","Jul 4, 2019",7.9,17706,"Summer brings new jobs and budding romance. But the mood shifts when Dustin's radio picks up a Russian broadcast, and Will senses something is wrong.",https://www.imdb.com/title/tt7445494/,tt4574334,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
Stranger Things,3,2,Chapter Two: The Mall Rats,"Jul 4, 2019",8.0,15892,"Nancy and Jonathan follow a lead, Steve and Robin sign on to a secret mission, and Max and Eleven go shopping. A rattled Billy has troubling visions.",https://www.imdb.com/title/tt7640050/,tt4574334,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
Stranger Things,3,3,Chapter Three: The Case of the Missing Lifeguard,"Jul 4, 2019",8.3,15369,"With El and Max looking for Billy, Will declares a day without girls. Steve and Dustin go on a stakeout, and Joyce and Hopper return to Hawkins Lab.",https://www.imdb.com/title/tt7911866/,tt4574334,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
