tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Taskmaster,1,1,Melon Buffet,"Apr 26, 2018",8.2,200,Schoolmasterly Greg Davies sets five fellow comedians - including Tim Key and Frank Skinner - devious tasks in this offbeat challenge show. First up: melon-eating.,https://www.imdb.com/title/tt4950176/,tt4934214,"Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word."
Taskmaster,1,2,The Pie Whisperer,"Aug 8, 2015",8.5,180,Comedians get competitive as devious Greg Davies sets them absurd challenges. Identifying pie contents and making a film backwards are on the agenda here.,https://www.imdb.com/title/tt4950200/,tt4934214,"Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word."
Taskmaster,1,3,The Poet and the Egg,"Aug 15, 2015",8.5,170,"Celebs leave their dignity at the door as dastardly Mr Gilbert - aka Greg Davies - sets them some truly bizarre tasks, including building an egg tower.",https://www.imdb.com/title/tt4950210/,tt4934214,"Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word."
Taskmaster,1,4,Down an Octave,"Aug 19, 2015",8.3,161,Greg Davies lays down tricky tasks to a gaggle of comics. Josh Widdicombe and Frank Skinner are two of the poor souls who have to fill an eggcup with tears.,https://www.imdb.com/title/tt4956136/,tt4934214,"Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word."
Taskmaster,1,5,Little Denim Shorts,"Aug 23, 2015",8.3,155,Pro celebrity suffering in Greg Davies' comedy challenge series! Frank Skinner takes a boulder onto a train. And can the comedians make a Swede blush?,https://www.imdb.com/title/tt4970856/,tt4934214,"Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word."
Taskmaster,1,6,The Last Supper,"Sep 1, 2015",8.1,158,"A round of mini-golf using eggs, picking blue sweets out using boxing gloves and making a meal using ingredients representing each letter of the alphabet are among the challenges in the series finale.",https://www.imdb.com/title/tt5040506/,tt4934214,"Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word."
Taskmaster,1,7,Fear of Failure,"Jun 21, 2016",8.4,168,"A new feckless five, fastidious Jon Richardson, ice-queen Katherine Ryan, dilapidated Joe Wilkinson, multi-talented Doc Brown and the unflappable Richard Osman, compete in the second series.",https://www.imdb.com/title/tt5070228/,tt4934214,"Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word."
Taskmaster,1,8,Pork Is a Sausage,"Jun 28, 2016",8.2,149,Eating an egg isn't a challenge - unless it's one of the bizarre tasks on this show. The rival comedians must also order a pizza without using key words and put potatoes in a basket using chopsticks.,https://www.imdb.com/title/tt5785480/,tt4934214,"Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word."
Taskmaster,1,9,A Pistachio Éclair,"Jul 5, 2016",8.2,150,"Taskmaster Greg Davies sets the competitors one of the show's most difficult challenges yet, as they must try to impress an intimidating man in gold chains - the Mayor of Chesham.",https://www.imdb.com/title/tt5785478/,tt4934214,"Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word."
Taskmaster,1,10,Welcome to Rico Face,"Jul 12, 2016",8.2,147,The competition intensifies as the series approaches its climax. The rivals are tasked with concealing a pineapple about their person and one discovers they have been the subject of an experiment.,https://www.imdb.com/title/tt5785484/,tt4934214,"Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word."
