tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,encoded_title,show_desc
Ted Lasso,1,1,Pilot,"Aug 14, 2020",7.9,4847,American football coach Ted Lasso is hired by a wealthy divorcée to coach English soccer team AFC Richmond.,tt10986410,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team."
Ted Lasso,1,2,Biscuits,"Aug 14, 2020",8.2,4390,"It's Ted's first day of coaching, and fans aren't happy. He makes little headway but remains undeterred as the team plays its first match.",tt10986410,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team."
Ted Lasso,1,3,Trent Crimm: The Independent,"Aug 14, 2020",8.6,4387,"To arrange an in-depth expose, Rebecca pairs cynical journalist Trent Crimm with Ted for a day. Ted and Roy venture into the community.",tt10986410,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team."
Ted Lasso,1,4,For the Children,"Aug 21, 2020",8.4,4241,"Rebecca hosts the team's annual charity benefit, where Ted stages a reconciliation between Roy and Jamie.",tt10986410,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team."
Ted Lasso,1,5,Tan Lines,"Aug 28, 2020",9.0,4566,Ted reunites with his wife and son. Ted makes a bold choice and takes Jamie out of the game.,tt10986410,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team."
Ted Lasso,1,6,Two Aces,"Sep 4, 2020",8.7,4058,"When Jamie refuses to train, Ted turns to talented new signing Dani Rojas-and the team is struck by an age-old curse.",tt10986410,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team."
Ted Lasso,1,7,Make Rebecca Great Again,"Sep 11, 2020",9.1,4786,Rebecca deals with her anniversary blues. Ted signs papers and has a small breakdown. An old friend of Rebecca introduces herself to Ted.,tt10986410,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team."
Ted Lasso,1,8,The Diamond Dogs,"Sep 18, 2020",8.8,4073,Ted and Roy are both having relationship problems. Ted consults the Diamond Dogs while Roy lays it on the line with Keeley.,tt10986410,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team."
Ted Lasso,1,9,All Apologies,"Sep 25, 2020",8.7,3751,"After a series of mistakes on the pitch, pressure mounts to bench Roy. Rebecca finally reveals the truth to Ted.",tt10986410,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team."
Ted Lasso,1,10,The Hope That Kills You,"Oct 2, 2020",9.2,4687,Richmond plays a climactic match that will determine the fates of Ted and his club.,tt10986410,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team."
