tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
The Angry Video Game Nerd,1,1,Castlevania II: Simon's Quest,"May 25, 2004",7.8,346,Why is Castlevania 1 and 3 a bloody good time and Castlevania 2 worthy of a stake to the heart? The Angry Nintendo Nerd reveals why.,https://www.imdb.com/title/tt1238784/,tt1230180,A foul-mouthed nerd reviews bad video games.
The Angry Video Game Nerd,1,2,Dr. Jekyll and Mr. Hyde,"Jun 15, 2004",7.0,319,The Nerd talks about the worst game ever for the NES.,https://www.imdb.com/title/tt1238785/,tt1230180,A foul-mouthed nerd reviews bad video games.
The Angry Video Game Nerd,1,3,The Karate Kid,"Apr 8, 2006",7.2,295,James talks about The Karate Kid for the Nintendo Entertainment System.,https://www.imdb.com/title/tt1241996/,tt1230180,A foul-mouthed nerd reviews bad video games.
The Angry Video Game Nerd,1,4,Who Framed Roger Rabbit,"Apr 24, 2006",7.3,282,"The Nerd reviews a video game release of ""Who Framed Roger Rabbit"".",https://www.imdb.com/title/tt1243394/,tt1230180,A foul-mouthed nerd reviews bad video games.
The Angry Video Game Nerd,1,5,Teenage Mutant Ninja Turtles,"Jun 21, 2006",8.2,315,"The Nerd grabs a beer and decides to review the first Ninja Turtles game for the NES. For a game that's based off of a kids show, it's not kid friendly when the platforms in the levels make it tricky for you to jump on and the rapid re-spawning of the enemies. The Nerd's main complaint is the electrifying seaweed which makes swimming under water more difficult than it... Read all",https://www.imdb.com/title/tt1243395/,tt1230180,A foul-mouthed nerd reviews bad video games.
The Angry Video Game Nerd,1,6,Back to the Future,"Jul 21, 2006",7.7,287,The Nerd reviews two awful Back to the Future games.,https://www.imdb.com/title/tt1243392/,tt1230180,A foul-mouthed nerd reviews bad video games.
The Angry Video Game Nerd,1,7,M.C. Kids,"Aug 25, 2006",7.4,278,"The Nerd reviews ""McKids"" a promotional game from the fast food chain McDonalds.",https://www.imdb.com/title/tt1243393/,tt1230180,A foul-mouthed nerd reviews bad video games.
The Angry Video Game Nerd,1,8,Wally Bear and the No! Gang,"Sep 1, 2006",7.0,258,"The Nerd observes the cartridge to the game Wally Bear, and is confused by the label that says ""Press Here"" which is literally part of the actual label of the game. The game itself isn't too exciting for a game that is trying to teach kids the dangers of drugs. The most ironic thing about the game is it has a hot-line that contains a recording of what is suppose to be... Read all",https://www.imdb.com/title/tt1243645/,tt1230180,A foul-mouthed nerd reviews bad video games.
The Angry Video Game Nerd,1,9,Master Chu and the Drunkard Hu,"Sep 8, 2006",7.1,267,"The Nerd invites a guest to play the two player mode on Master Chu. One of the hand full of NES games that come in a baby blue color cartridge. There isn't anything great about the game other than the main character being drunk hence the word drunkard in the title. The Nerd's main complaint is the music repeating itself with the same stereotypical Chinese music, along... Read all",https://www.imdb.com/title/tt1241995/,tt1230180,A foul-mouthed nerd reviews bad video games.
The Angry Video Game Nerd,1,10,Top Gun,"Sep 15, 2006",8.0,294,"The Nerd reviews a flight simulating NES game which is based off of the movie Top Gun. For an older flight simulating video game there isn't much to offer since it's made for the NES, but the confusing controls and lack of music makes the Nerd irritated. His main complaint goes to the landing the plane sequence which always results in the plane crashing into the ocean... Read all",https://www.imdb.com/title/tt1243646/,tt1230180,A foul-mouthed nerd reviews bad video games.
