tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
The Bridge,1,1,Episode #1.1,"Sep 21, 2011",7.9,1356,"A woman is found murdered in the middle of the Oresund Bridge - on the border between Sweden and Denmark. What looks at first to be one murder, however, turns out to be two.",https://www.imdb.com/title/tt1829101/,tt1733785,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer."
The Bridge,1,2,Episode #1.2,"Sep 28, 2011",7.8,1152,"After the murder on the bridge, the killer makes his presence known and chooses a tabloid journalist to act as a contact with the outside world.",https://www.imdb.com/title/tt1829103/,tt1733785,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer."
The Bridge,1,3,Episode #1.3,"Oct 5, 2011",7.8,1072,"To draw attention to the increased number of people falling through the cracks of society, the killer kidnaps a homeless man and demands a large ransom from four landlords for his survival. So what is the price of a human being after all?",https://www.imdb.com/title/tt1829104/,tt1733785,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer."
The Bridge,1,4,Episode #1.4,"Oct 12, 2011",8.0,1024,"Knowing the killer has carefully planned his crimes, Saga and Martin wonder whether they can catch him off guard by doing something he doesn't expect.",https://www.imdb.com/title/tt1829105/,tt1733785,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer."
The Bridge,1,5,Episode #1.5,"Oct 19, 2011",7.9,1002,The murderer has groomed a number of schizophrenics to commit carefully synchronized violent crimes on the same day in Malmo and Copenhagen.,https://www.imdb.com/title/tt1790933/,tt1733785,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer."
The Bridge,1,6,Episode #1.6,"Oct 26, 2011",7.9,985,A rogue policeman is killed by someone in uniform. The detectives believe that the killer for whom they are searching was the killer. They also now suspect that the killer may indeed be one of them - that he is actually is a cop.,https://www.imdb.com/title/tt1829106/,tt1733785,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer."
The Bridge,1,7,Episode #1.7,"Nov 2, 2011",8.0,986,"A bus-load of children is kidnapped and are threatened to be killed. The police believe that the kidnapper is the killer, and the hunt continues.",https://www.imdb.com/title/tt1829107/,tt1733785,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer."
The Bridge,1,8,Episode #1.8,"Nov 9, 2011",8.1,986,"Because the detectives suspect that a policeman is involved, a profile of the killer is developed and several police fit the profile and a search among them begins. The hunt continues and a particular suspect is found.",https://www.imdb.com/title/tt1829108/,tt1733785,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer."
The Bridge,1,9,Episode #1.9,"Nov 17, 2011",8.6,1088,Things are brought closer to home when the criminal's mask is removed.,https://www.imdb.com/title/tt1829109/,tt1733785,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer."
The Bridge,1,10,Episode #1.10,"Nov 23, 2011",8.6,1151,"The crime spree is resolved. However, many loose threads remain.",https://www.imdb.com/title/tt1829102/,tt1733785,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer."
The Bridge,2,1,Episode #2.1,"Sep 22, 2013",8.0,965,"A tanker is heading towards the bridge. When it is boarded by the coastguard the crew are discovered to be missing. The only people on board are five youths, drugged and chained. Saga and Martin are assigned to investigate the case.",https://www.imdb.com/title/tt2871034/,tt1733785,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer."
The Bridge,2,2,Episode #2.2,"Sep 29, 2013",7.7,832,Four individuals wearing animal masks post a video online claiming responsibility for the tanker Saga and Martin are investigating. Deaths are reported of people eating poisoned food. Are the cases connected?,https://www.imdb.com/title/tt3146184/,tt1733785,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer."
The Bridge,2,3,Episode #2.3,"Oct 6, 2013",8.0,808,"Saga and Martin continue their hunt for the eco-terrorists, who have realised the police are on their trail.",https://www.imdb.com/title/tt3146200/,tt1733785,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer."
