tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
The Bugs Bunny Show,1,1,Rabbit Every Monday/A Mouse Divided/Tree For Two,"Oct 11, 1960",7.9,82,"Bugs introduces many of his co-hosts individually: Pepe Le Pew, Yosemite Sam, Tweety, Sylvester and Speedy Gonzales. But Daffy Duck can't convince Bugs to introduce him as well, try as he might during the show.",https://www.imdb.com/title/tt1140063/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
The Bugs Bunny Show,1,2,Putty Tat Trouble/Wise Quackers/Speedy Gonzales,"Oct 18, 1960",7.7,70,"Rocky and Mugsy try to grab up some of the money from the sponsors of the show by going into the television business themselves, intruding on the proceedings in the process.",https://www.imdb.com/title/tt1361670/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
The Bugs Bunny Show,1,3,Wild Over You/Go Fly a Kit/Mouse-Warming,"Oct 25, 1960",7.7,43,"The midget gangster Baby Faced Finster dresses up as a baby to escape the police. To his dismay, he ends up in the hands of Bugs Bunny, who treats him as a baby.",https://www.imdb.com/title/tt5195040/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
The Bugs Bunny Show,1,4,"To Itch His Own/Gee Whiz-z-z-z!/Whoa, Be-Gone!","Nov 1, 1960",7.6,40,"Wile E. Coyote's chase of the Road Runner has extended into the studio where Bugs is trying to host his television show. Two Road Runner cartoons are thus featured, involving Wile E.'s schemes.",https://www.imdb.com/title/tt5195042/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
The Bugs Bunny Show,1,5,Canary Row/Knights Must Fall/For Scent-imental Reasons,"Nov 8, 1960",7.8,65,"Desperate to appear on the show as the guest, Daffy dresses as a Hawaiian, a musketeer, and a knight, but his costume is deemed inappropriate by Bugs for each cartoon about to commence.",https://www.imdb.com/title/tt1161880/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
The Bugs Bunny Show,1,6,Long-Haired Hare/Sandy Claws/Mouse Wreckers,"Nov 15, 1960",7.5,37,"In a musical competition between cartoon features of Bugs at war with an opera singer, Sylvester buffeted by tidal waves in his gastronomic quest for Tweety, and two mice conspiring to induce house cat insanity, Daffy plays the drums.",https://www.imdb.com/title/tt5195048/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
The Bugs Bunny Show,1,7,Bully For Bugs/Tweety's S.O.S./One Froggy Evening,"Nov 22, 1960",7.8,41,"Daffy disguises himself as Bugs to host the television show, but a sheepdog, on a day free from his work, walks into the studio, hoping to catch the bunny-rabbit (Bugs) that he saw on television on the previous week.",https://www.imdb.com/title/tt5195062/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
The Bugs Bunny Show,1,8,My Bunny Lies Over the Sea/Scaredy Cat/Scent-imental Romeo,"Nov 29, 1960",7.6,38,"Daffy wants to be host. So, he banishes all others from the stage, including Pepe, Elmer, and Bugs. Still, the cartoons proceed on schedule, with Bugs in Scotland, Porky and Sylvester in a spooky, mouse-infested house.",https://www.imdb.com/title/tt5195136/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
The Bugs Bunny Show,1,9,Bunker Hill Bunny/Each Dawn I Crow/Golden Yeggs,"Dec 6, 1960",7.4,37,"Tweety is host of an installment containing two psychological thrillers with birds seemingly doomed to death at a specified time. So that the little canary can be safe from Sylvester, Bugs hangs his cage from the stage ceiling.",https://www.imdb.com/title/tt5195144/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
The Bugs Bunny Show,1,10,Which is Witch/Mouse Mazurka/Kit For Cat,"Dec 13, 1960",7.6,36,"Yosemite Sam wants Bugs' hide. So, gun in hand, he comes to see The Bugs Bunny Show live as a spectator in the studio.",https://www.imdb.com/title/tt5195154/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
The Bugs Bunny Show,1,11,Two's a Crowd/All a Bir-r-r-d/The Hasty Hare,"Dec 20, 1960",7.4,37,"Bugs introduces Porky Pig as host. Porky is pestered by Charlie Dog, who is looking for a master. Charlie does his all-breeds-in-one routine and complicates Porky's introduction.",https://www.imdb.com/title/tt5195160/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
The Bugs Bunny Show,1,12,"What's Up, Doc?/Early to Bet/Pop 'im Pop!","Dec 27, 1960",7.4,36,"George P. Dog is introduced by Bugs as the emcee for the show, but Foghorn Leghorn decides that he would be a better emcee and pushes the dog aside.",https://www.imdb.com/title/tt5195172/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
The Bugs Bunny Show,1,13,A-Lad-in His Lamp/Dog Gone South/A Fractured Leghorn,"Jan 3, 1961",7.4,37,"Sylvester is introduced by Bugs as host, and he is joined on stage by his son, Sylvester Jr., who is underwhelmed at Sylvester's all-too-brief introduction of him.",https://www.imdb.com/title/tt5195178/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
The Bugs Bunny Show,1,14,Ant Pasted/The Fair-Haired Hare/I Gopher You,"Jan 10, 1961",7.4,36,"Elmer Fudd is host and tries to sing, but he is thwarted when the notes on his sheet music run off of their page and remind him of his July 4 picnic that became a harrowing confrontation.",https://www.imdb.com/title/tt5195186/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
The Bugs Bunny Show,1,15,Rocket Squad/Daffy Dilly/Drip-Along Daffy,"Jan 17, 1961",7.4,37,"Daffy finally receives recognition. Bugs hosts an all-Daffy Duck tribute, in which Mama Bear performs ""I'm Just Wild About Daffy"" and the mallard stars in cartoons as a far-future detective.",https://www.imdb.com/title/tt5195192/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
The Bugs Bunny Show,1,16,The Leghorn Blows at Midnight/His Bitter Half/Hot Cross Bunny,"Jan 24, 1961",8.1,69,"Foghorn Leghorn introduces Miss Prissy, who, Foghorn says, is an old-time actress.",https://www.imdb.com/title/tt1140064/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
The Bugs Bunny Show,1,17,Lovelorn Leghorn/Who's Kitten Who?/The Windblown Hare,"Jan 31, 1961",7.6,37,An unseen animator sketches Foghorn Leghorn with Rock Hudson's body and then draws a broom's tail on Foghorn's backside. Foghorn retaliates by lassoing and pummeling the animator- Daffy Duck.,https://www.imdb.com/title/tt5195198/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
The Bugs Bunny Show,1,18,High Diving Hare/Don't Give Up the Sheep/Stooge For a Mouse,"Feb 7, 1961",7.9,60,"Two lame-brained Mexicali cats, Jose and Miguel, try to host an episode with Yosemite Sam plummeting again and again into a bucket of water, Ralph Wolf being continually stopped from obtaining mutton by the omnipresent Sam Sheepdog.",https://www.imdb.com/title/tt1481174/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
The Bugs Bunny Show,1,19,High Diving Hare/Don't Give Up the Sheep/Stooge For a Mouse,"Feb 14, 1961",7.6,36,Bugs demonstrates how to draw an animated cartoon character. He decides to use Daffy Duck as an example and draws Daffy from a dumbbell.,https://www.imdb.com/title/tt5195204/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
The Bugs Bunny Show,1,20,Rabbit of Seville/The Scarlet Pumpernickel/Stop! Look! And Hasten!,"Feb 21, 1961",8.2,72,"Bugs tries to indulge the audience in a bit of culture, such as in his own rendition of the opera, ""The Barber of Seville"", in spite of constant interruptions from Elmer Fudd.",https://www.imdb.com/title/tt1124518/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
The Bugs Bunny Show,1,21,Hillbilly Hare/Hippety Hopper/You Were Never Duckier,"Feb 28, 1961",7.3,34,"Mac and Tosh, the Goofy Gophers, are introduced by Bugs as the host. In the cartoons, Bugs orchestrates a square dance that very much pains two lame-brained men of the Ozark Mountains.",https://www.imdb.com/title/tt5195208/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
The Bugs Bunny Show,1,22,The Turn-Tale Wolf/Paying the Piper/Beanstalk Bunny,"Mar 7, 1961",7.6,35,"Sylvester is host and tells to his son, Junior, the Looney Tune-style fairy tales of the Big Bad Wolf and the Three Little Pigs- in which hero and villain roles are seemingly reversed.",https://www.imdb.com/title/tt5195210/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
The Bugs Bunny Show,1,23,"Big House Bunny/Canned Feud/Home, Tweet Home","Mar 14, 1961",7.8,37,"Mac and Tosh, the Goofy Gophers, are again hosts for the show. They spend their time politely arguing over who should introduce the jailed Bugs, house-imprisoned and in-need-of-food Sylvester, and Tweety-in-a-city-park.",https://www.imdb.com/title/tt5195220/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
The Bugs Bunny Show,1,24,Mississippi Hare/Terrier-Stricken/Cheese Chasers,"Mar 21, 1961",8.1,66,"Yosemite Sam wants to be the show emcee this time around, but Bugs chooses Pepe Le Pew instead, much to Sam's chagrin.",https://www.imdb.com/title/tt1161879/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
The Bugs Bunny Show,1,25,Henhouse Henery/Curtain Razor/Devil May Hare,"Mar 28, 1961",7.2,34,"Bugs introduces Daffy Duck as this installment's host, but Daffy is backstage being chased by the Tasmanian Devil, who has broken out of a crate.",https://www.imdb.com/title/tt5195222/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
The Bugs Bunny Show,1,26,Hare We Go/The Foghorn Leghorn/Little Red Rodent Hood,"Apr 4, 1961",7.9,37,"Okay, rabbit. Grab a cloud. This is a stick-up."" Gun-toting gangsters Rocky and Mugsy hijack the show. Mugsy escorts Bugs off of the stage, and Rocky introduces the cartoons.",https://www.imdb.com/title/tt5195224/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
The Bugs Bunny Show,2,1,Bad-Time Story,"Oct 10, 1961",7.9,63,"It is ""Reading Out Loud Night"", and Bugs selects a book from a shelf and walks into a backdrop leading into the first cartoon feature for this fairy tales and legends installment.",https://www.imdb.com/title/tt1318599/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
The Bugs Bunny Show,2,2,Satan's Waitin',"Oct 17, 1961",6.9,35,"Yosemite Sam dies after being crushed by a falling safe during his evil scheme to divest a widow of her money and he goes to hell, where the devil promises to release Sam's spirit, provided that Sam bring to the devil a certain rabbit.",https://www.imdb.com/title/tt5462632/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
The Bugs Bunny Show,2,3,Daffy Doodling,"Oct 24, 1961",7.1,32,"Daffy outwits Bugs for the position of emcee, Sylvester and a brawny, stupid sidekick hunt mice in a warehouse, the Goofy Gophers find that their lumber-harvested home tree has been converted into human furniture.",https://www.imdb.com/title/tt5462638/,tt0053488,TV series featuring the classic Looney Tunes animated shorts.
