tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
The Eric Andre Show,1,1,George Clooney,"May 20, 2012",7.9,325,Eric interviews George Clooney and Dolph Lundgren.,tt2244495
The Eric Andre Show,1,2,Russell Brand,"May 27, 2012",7.9,269,"Eric interviews Russell Brand, Rick Fox and Kristanna Loken.",tt2244495
The Eric Andre Show,1,3,Tatyana Ali,"Jun 3, 2012",7.9,247,Eric interviews Tatyana Ali and Arnold Schwarzenegger.,tt2244495
The Eric Andre Show,1,4,Brandi Glanville,"Jun 10, 2012",8.1,243,Eric interviews Real Housewife Brandi Glanville and Vice President Joe Biden.,tt2244495
The Eric Andre Show,1,5,Reese Witherspoon,"Jun 17, 2012",7.7,217,Eric interviews Reese Witherspoon and Dr. Ordin.,tt2244495
The Eric Andre Show,1,6,Jack,"Jul 22, 2012",8.2,203,Eric interviews Jack Nicholson and John Kilduff.,tt2244495
The Eric Andre Show,1,7,Sinbad,"Jun 24, 2012",8.0,210,The hosts discuss dirty hotel room sheets with Sinbad and spin the Wheel of Prizes.,tt2244495
The Eric Andre Show,1,8,J-Moe,"Jul 8, 2012",8.1,195,Eric gets caught lip syncing to bad jokes and almost infiltrates Mensa.,tt2244495
The Eric Andre Show,1,9,Evangelos,"Jul 15, 2012",8.0,196,Eric demonstrates pickup artistry and panhandles in a suit and tie.,tt2244495
The Eric Andre Show,1,10,Ryan Phillippe,"Jul 29, 2012",8.5,205,Eric terminates a baby-holding sketch prematurely and has an existential crisis.,tt2244495
The Eric Andre Show,1,11,The Eric Andre New Year's Eve Spooktacular!,"Dec 12, 2012",7.9,116,"To celebrate New Year's Eve, Eric does his talk show live in front of a studio audience.",tt2244495
The Eric Andre Show,2,1,Maria Menounos/Eric Balfour,"Oct 3, 2013",8.3,199,Interviews with Maria Menounos and Eric Balfour; Musical guest Irontom.,tt2244495
The Eric Andre Show,2,2,Krysten Ritter/Dominic Monaghan,"Oct 10, 2013",8.2,199,Interviews with Krysten Ritter and Dominic Monaghan,tt2244495
The Eric Andre Show,2,3,Lou Ferrigno/Downtown Julie Brown,"Oct 17, 2013",8.2,189,Interviews with Lou Ferrigno and Downtown Julie Brown.,tt2244495
The Eric Andre Show,2,4,Jodie Sweetin/Vivica A. Fox,"Oct 24, 2013",7.9,176,"Interviews with ""George Clooney,"" Jodie Sweetin and Vivica A. Fox.",tt2244495
The Eric Andre Show,2,5,James Van Der Beek/Steve-O,"Oct 31, 2013",8.6,194,Interviews with James Van Der Beek and Steve-O; Chef Rory Scovel; Special guest T-Pain.,tt2244495
The Eric Andre Show,2,6,Wink Martindale/Sarah Burns,"Nov 7, 2013",7.6,171,Interviews with Wink Martindale and Sarah Burns.,tt2244495
The Eric Andre Show,2,7,Lance Reddick/Harry Shum Jr.,"Nov 14, 2013",8.5,186,Interviews with Lance Reddick and Harry Shum Jr.; Musical guest Jonwayne.,tt2244495
The Eric Andre Show,2,8,Joey Fatone/Richard Hatch,"Nov 21, 2013",7.8,166,Interviews with Joey Fatone and Richard Hatch; Special guest Eric Kelly.,tt2244495
The Eric Andre Show,2,9,Chance the Rapper/Mel B,"Dec 5, 2013",8.8,196,Interviews with Chance The Rapper and Mel B; Special guest Questlove and musical guest Henry Rollins.,tt2244495
The Eric Andre Show,2,10,"Scott Porter/Brutus ""The Barber"" Beefcake","Dec 12, 2013",8.3,212,Season finale. You've seen the show. You get it.,tt2244495
The Eric Andre Show,3,1,Seth Rogen; Asa Akira,"Nov 6, 2014",8.8,262,Interviews with Seth Rogen and Asa Akira; Musical guest Exhumed and The Supremes.,tt2244495
The Eric Andre Show,3,2,Lauren Conrad; Reese Witherspoon,"Nov 13, 2014",9.2,295,"Interviews with Lauren Conrad and ""Reese Witherspoon""; Musical guest Hannibal Buress.",tt2244495
The Eric Andre Show,3,3,Ryan Kwanten; Beyonce & Jay-Z,"Nov 20, 2014",7.7,179,"Interviews with Ryan Kwanten and ""Beyonce & Jay Z""; Musical guest Killer Mike and Action Bronson.",tt2244495
The Eric Andre Show,3,4,Jillian Barberie; Victor Ortiz,"Nov 27, 2014",8.2,180,Interviews with Jillian Barberie and Victor Ortiz; Musical guest Mac DeMarco.,tt2244495
The Eric Andre Show,3,5,The Hannibal Buress Show,"Dec 4, 2014",8.8,214,"Following a severe spinal injury, Eric asks Hannibal to host the show. Featuring Nick Cannon and Carmen Electra; Musical guest Lil Jon.",tt2244495
The Eric Andre Show,3,6,Wiz Khalifa; Aubrey Peeples,"Dec 11, 2014",8.4,178,Interviews with Wiz Khalifa and Aubrey Peeples.,tt2244495
The Eric Andre Show,3,7,Naturi Naughton; Ryan Phillippe,"Dec 18, 2014",8.0,153,Interviews with Naturi Naughton (Power (2014)) and Ryan Phillippe (Reclaim (2014)); musical guest Trash Talk.,tt2244495
