tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
The Family Man,1,1,The Family Man,"Sep 19, 2019",8.4,1977,"Middle-class man working for the National Investigation Agency. While he tries to protect the nation from terrorists, he also has to protect his family from the impact of his secretive, high-pressure, and low paying job.",https://www.imdb.com/title/tt9637242/,tt9544034,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job."
The Family Man,1,2,Sleepers,"Sep 20, 2019",8.4,1296,A scooter bomb goes off at Kala Ghoda. Srikant learns about a mission called Zulfiqar. Suspects in the blast case tell him about a drop box near Victoria College. He arranges for round-the-clock surveillance at the drop box location.,https://www.imdb.com/title/tt9637266/,tt9544034,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job."
The Family Man,1,3,Anti-National,"Sep 20, 2019",8.3,1201,"When he finds out that one of the hospitalised prisoners is part of Mission Zulfiqar, Srikant interrogates the prisoner's friend, Moosa, about it. Someone called Kareem has used the dropbox. TASC monitors Kareem's hostel room, but Kareem gives them the slip.",https://www.imdb.com/title/tt9642904/,tt9544034,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job."
The Family Man,1,4,Patriots,"Sep 20, 2019",8.7,1264,"TASC is in a quandary. They fear Kareem and his men have a devious plan. They get to Kareem's car, only to realise that things are not what they seem.",https://www.imdb.com/title/tt9675162/,tt9544034,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job."
The Family Man,1,5,Pariah,"Sep 20, 2019",8.3,1127,"ISI agent Sameer sends the Kala Ghoda bomber to Kashmir to execute Mission Zulfiqar. Srikant is 'punished' and sent to Kashmir, but when his boss, Kulkarni, tells him it was planned, Srikant starts digging into Zulfiqar.",https://www.imdb.com/title/tt9760784/,tt9544034,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job."
The Family Man,1,6,Dance Of Death,"Sep 20, 2019",9.2,1728,Srikant discovers that he's been after the wrong suspect all this time.,https://www.imdb.com/title/tt9760794/,tt9544034,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job."
The Family Man,1,7,Paradise,"Sep 20, 2019",8.5,1104,"Srikant searches for Sajid at a wedding in Baramulla, against Saloni and Vikram's wishes.",https://www.imdb.com/title/tt9760808/,tt9544034,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job."
The Family Man,1,8,Act Of War,"Sep 20, 2019",8.7,1121,"Srikant helps CIA locate Faizan, a wanted man hiding in Balochistan. Srikant slips into Pakistan to interrogate Faizan. Pakistan's Prime Minister finds out about Zulfiqar and tries to stop it.",https://www.imdb.com/title/tt9760820/,tt9544034,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job."
The Family Man,1,9,Fighting Dirty,"Sep 20, 2019",8.6,1108,Srikant tries to thwart a plan to smuggle nerve gas canisters from Kashmir into Delhi.,https://www.imdb.com/title/tt9760834/,tt9544034,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job."
The Family Man,1,10,The Bomb,"Sep 20, 2019",8.1,1315,TASC realizes that Mission Zulfiqar is not over. There is a Plan B. And it has already been put to action.,https://www.imdb.com/title/tt9760848/,tt9544034,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job."
