tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
The Haunting of Hill House,1,1,Steven Sees a Ghost,"Oct 12, 2018",8.2,8600,"While investigating a ghost story for his latest novel, a skeptical Steven receives a call from his sister that triggers a chain of fateful events.",tt6763664
The Haunting of Hill House,1,2,The Twin Thing,"Oct 12, 2018",8.6,7600,Still wrestling with addiction -- and an unshakable fright -- a frantic Luke tries to save a friend while sensing his twin sister is in danger.,tt6763664
The Haunting of Hill House,1,3,Touch,"Oct 12, 2018",8.7,7800,"Keenly perceptive Theo sees shades of herself in a troubled young patient, a girl who's haunted by the menacing grin of ""Mr. Smiley.""",tt6763664
The Haunting of Hill House,1,4,Open Casket,"Oct 12, 2018",7.9,7700,"A devastating family tragedy stirs memories of traumatic losses, reminding Shirley of her first brush with death -- and awakening long-dormant fears.",tt6763664
The Haunting of Hill House,1,5,The Bent-Neck Lady,"Oct 12, 2018",9.5,12000,"A dark specter with an unsettling silhouette has haunted Nell since she was a girl. Now ""the Bent-Neck Lady"" is back -- and she's calling Nell home.",tt6763664
The Haunting of Hill House,1,6,Two Storms,"Oct 12, 2018",9.4,11000,"It's a reunion for all the wrong reasons when Hugh flies in for the funeral, coming face to face with his estranged children on a dark, stormy night.",tt6763664
The Haunting of Hill House,1,7,Eulogy,"Oct 12, 2018",8.3,6700,"As the Crains gather to say their final goodbyes, a flashback reveals Mr. Dudley's connection to the house -- and exposes a secret in the walls.",tt6763664
The Haunting of Hill House,1,8,Witness Marks,"Oct 12, 2018",8.9,7000,"A familiar terror revisits Shirley and Theo on Halloween night as Hugh and Steve go looking for Luke, who disappeared on a deadly errand.",tt6763664
The Haunting of Hill House,1,9,Screaming Meemies,"Oct 12, 2018",8.9,7000,"While struggling to discern dreams from reality, Olivia fears for her children's safety, a motherly instinct Mrs. Dudley urges her to embrace.",tt6763664
The Haunting of Hill House,1,10,Silence Lay Steadily,"Oct 12, 2018",8.6,7800,"The Red Room's contents are finally revealed as the Crains return to the house to confront old ghosts, unspeakable secrets and an insatiable evil.",tt6763664
