tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
The Heroes,1,1,Pahlavan Heydar's Kabbadeh,,0.0,0,"A stranger has come to Kharazm city. He tries to help some children in need, then meets Pahlavan Vali and Pahlavan Yavar, and makes some troubles for himself.",tt7657124
The Heroes,1,2,Safi,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt7657124
The Heroes,1,3,Speaking Parrot,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt7657124
The Heroes,1,4,Pouria's Sword,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt7657124
The Heroes,1,5,Black Powder (Gunpowder),,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt7657124
The Heroes,1,6,Jabbar (Safi's Forgetfulness),,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt7657124
The Heroes,1,7,Alive Tiger,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt7657124
The Heroes,1,8,Blacksmith's Testament,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt7657124
The Heroes,1,9,Millstone,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt7657124
The Heroes,1,10,Hours Riding,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt7657124
The Heroes,1,11,Treasure,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt7657124
The Heroes,1,12,Horse Thief,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt7657124
The Heroes,1,13,The Trust,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt7657124
The Heroes,2,1,Unpaid Tax,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt7657124
The Heroes,2,2,Courier from Khiva,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt7657124
The Heroes,2,3,A Thief's Promise,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt7657124
The Heroes,2,4,Alchemist,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt7657124
The Heroes,2,5,Eskandar's Treasure,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt7657124
The Heroes,2,6,Itinerant Pahlavan,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt7657124
The Heroes,2,7,War Elephant,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt7657124
The Heroes,2,8,Safdar,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt7657124
The Heroes,2,9,Palace Physician,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt7657124
The Heroes,2,10,Amir Hooshang,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt7657124
The Heroes,2,11,Governor's Daughter,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt7657124
The Heroes,2,12,The Wolves,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt7657124
The Heroes,2,13,Statement,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt7657124
The Heroes,3,1,Knight in Black,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt7657124
