tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
The IT Crowd,1,1,Yesterday's Jam,"Feb 3, 2006",7.6,2681,Jen starts at Reynholm industries as the IT Manager. But it turns out she doesn't know anything about computers.,https://www.imdb.com/title/tt0609853/,tt0487831,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
The IT Crowd,1,2,Calamity Jen,"Feb 3, 2006",8.1,2518,Denholm invites a stress expert when he starts a war against stress. Jen has a shoe problem which has a serious effect.,https://www.imdb.com/title/tt0609850/,tt0487831,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
The IT Crowd,1,3,Fifty-Fifty,"Feb 10, 2006",7.8,2263,"When Roy gets dumped after a date, he starts believing that girls go for ""bad boys"" and creates a fake profile on a dating site and, surprisingly, gets a response. Meanwhile, Jen starts flirting with a security guard.",https://www.imdb.com/title/tt0609849/,tt0487831,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
The IT Crowd,1,4,The Red Door,"Feb 17, 2006",7.9,2284,"Moss puts a picture of his head on his cup to make sure it doesn't get lost. Curious about the red door behind Roy's desk, Jen ignores the boys' warnings never to open it, and goes in. She finds the vampiric Richmond inside.",https://www.imdb.com/title/tt0609852/,tt0487831,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
The IT Crowd,1,5,The Haunting of Bill Crouse,"Feb 24, 2006",8.4,2438,"Jen goes on a bad date with a colleague, Bill. Not wanting to ever see Bill again, she asks Moss to come up with a lie that would send Bill away for good if he comes to visit her. Moss panics under pressure and tells Bill that Jen is dead.",https://www.imdb.com/title/tt0609851/,tt0487831,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
The IT Crowd,1,6,Aunt Irma Visits,"Mar 3, 2006",8.0,2257,Jen has her period and she starts to see the same symptoms in the boys. They say that it's impossible but they reconsider after they start having the same symptoms as Jen. They're even given their own website after talking about it online.,https://www.imdb.com/title/tt0609848/,tt0487831,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
The IT Crowd,2,1,The Work Outing,"Aug 24, 2007",9.4,5122,"Jen's new boyfriend invites Roy, Moss and Jen to a controversial theatre play, which creates a series of misunderstandings that end up having unintended consequences of epic proportions.",https://www.imdb.com/title/tt0849997/,tt0487831,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
The IT Crowd,2,2,Return of the Golden Child,"Aug 31, 2007",8.1,2156,Denholm dies and they have to go to the funeral and Roy is worried about dying.,https://www.imdb.com/title/tt1094436/,tt0487831,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
The IT Crowd,2,3,Moss and the German,"Sep 7, 2007",8.2,2160,"Jen complains that Roy and Moss spend too much time together, so Moss takes a German cooking class.",https://www.imdb.com/title/tt1095845/,tt0487831,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
The IT Crowd,2,4,The Dinner Party,"Sep 14, 2007",8.6,2314,"Jen has met someone normal, and plans for a nice dinner party. Things go awry when Jen invites her workmates after her original male guests cancel.",https://www.imdb.com/title/tt1106046/,tt0487831,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
The IT Crowd,2,5,Smoke and Mirrors,"Sep 21, 2007",7.8,1882,"To help Jen with her bra discomfort, Moss miraculously invents the most comfortable bra in the world, so the gang decides to patent it without fully testing the product first. Moss also invents an alter ego to promote the product.",https://www.imdb.com/title/tt1111175/,tt0487831,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
The IT Crowd,2,6,Men Without Women,"Sep 28, 2007",7.6,1812,Jen is offered a promotion but can she trust Douglas. The boys see this as an opportunity to goof off.,https://www.imdb.com/title/tt1111176/,tt0487831,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
The IT Crowd,3,1,From Hell,"Nov 21, 2008",7.7,1908,"Moss is menaced by a gang of bullies at the park, Roy is forced to lend Douglas £20 and becomes obsessed with getting it back, and Jen's home is worked on by someone Roy suspects to be the infamous Builder From Hell.",https://www.imdb.com/title/tt1321272/,tt0487831,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
The IT Crowd,3,2,Are We Not Men?,"Nov 28, 2008",8.4,2087,"Roy and Moss' attempt to bluff their way through conversations using generic football guy-talk goes catastrophically out of control when Roy befriends the wrong crowd. Meanwhile, Jen dates a man who looks like a magician to everyone.",https://www.imdb.com/title/tt1320784/,tt0487831,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
The IT Crowd,3,3,Tramps Like Us,"Dec 5, 2008",8.1,1873,"Douglas is forced to wear anti sexual arousal electric pants after an incident with Jen. Jen looks for work elsewhere. Beyond his control, Roy finds himself shirtless and thrown out of the building.",https://www.imdb.com/title/tt1320785/,tt0487831,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
The IT Crowd,3,4,The Speech,"Dec 12, 2008",8.9,2607,"Annoyed by the fact that Jen has inexplicably been declared the Employee of the Month, Moss and Roy play a prank on her to expose her ignorance about the Internet; Douglas and a hot newswoman with a secret past fall madly in love.",https://www.imdb.com/title/tt1320786/,tt0487831,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
The IT Crowd,3,5,Friendface,"Dec 19, 2008",8.5,1958,Friendface: a place to make new friends on the Internet--or is it? Jen gets seriously hooked and gets Roy and Moss to join her after mentioning Scrabble and women.,https://www.imdb.com/title/tt1320787/,tt0487831,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
The IT Crowd,3,6,Calendar Geeks,"Dec 26, 2008",7.7,1814,Roy makes a move on a girl on 7th floor. He ends up fund raising for people with her brother's condition. She suggests a nude calendar with girls of the 7th floor. Roy'll take the photos. Jen doesn't buy it. It doesn't go as planned.,https://www.imdb.com/title/tt1320788/,tt0487831,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
The IT Crowd,4,1,Jen the Fredo,"Jun 25, 2010",8.0,1892,Jen has to entertain a group of visiting sexist yuppie executives looking for a raunchy good time. Her solution is a role playing game with the IT Crowd. Moss also uses the game to help Roy get over his breakup with the love of his life.,https://www.imdb.com/title/tt1650327/,tt0487831,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
The IT Crowd,4,2,The Final Countdown,"Jul 2, 2010",8.3,2106,"Roy tries to locate a window-cleaner who left his ladders in Roy's flat, Moss becomes a member of the strange, secret, elite club of Countdown (1982) champions, and Jen investigates what's going on in the Heads of Department meetings.",https://www.imdb.com/title/tt1676563/,tt0487831,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
The IT Crowd,4,3,Something Happened,"Jul 9, 2010",7.5,1696,"Douglas falls under the spell of a crazy mystic, and Jen falls under the spell of a geeky keyboard player. Moss finds it all most entertaining and worthy of popcorn. Meanwhile, Roy is forced to sue his masseur for sexual harassment.",https://www.imdb.com/title/tt1676559/,tt0487831,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
The IT Crowd,4,4,Italian for Beginners,"Jul 16, 2010",8.2,1807,Moss is obsessed with an iPhone in an arcade game. Roy is obsessed with a water park fire. Jen is obsessed with speaking Italian.,https://www.imdb.com/title/tt1676560/,tt0487831,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
The IT Crowd,4,5,Bad Boys,"Jul 23, 2010",8.3,1802,"Moss and Roy blow off work and miss a party at work they really, really needed to attend, especially since instead they wander into a restricted zone where police suspect an abandoned package is a bomb.",https://www.imdb.com/title/tt1676561/,tt0487831,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
The IT Crowd,4,6,Reynholm vs Reynholm,"Jul 30, 2010",7.6,1748,"Douglas' dead wife returns and sues him. Jen acts as his defence council, and Roy and Moss as his character witnesses.",https://www.imdb.com/title/tt1676562/,tt0487831,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
The IT Crowd,5,0,The Internet Is Coming,"Sep 27, 2013",8.4,2237,"In the series finale, Moss discovers the power of women's slacks; Roy's problem with a little-person barista turns him and Jen into social pariahs and global hate figures thanks (?) to the Internet.",https://www.imdb.com/title/tt3221116/,tt0487831,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
