tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,encoded_title,show_desc
The Punisher,1,1,3 AM,"Nov 17, 2017",8.6,7975,Former Marine Frank Castle takes the law into his own hands while struggling to come to terms with his traumatic past.,tt5675620,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them."
The Punisher,1,2,Two Dead Men,"Nov 17, 2017",8.3,6786,"A mysterious phone call forces Frank's hand. Meanwhile, Madani goes digging for suspects and Curtis delivers a message.",tt5675620,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them."
The Punisher,1,3,Kandahar,"Nov 17, 2017",8.5,6519,Frank skips the subtlety while interrogating Micro. Brutal memories of top-secret missions shed light on Frank's past.,tt5675620,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them."
The Punisher,1,4,Resupply,"Nov 17, 2017",8.4,6141,"Madani and Sam plan a delicate operation, Curtis tries to connect with Lewis, and Frank encourages Micro to get his hands dirty.",tt5675620,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them."
The Punisher,1,5,Gunner,"Nov 17, 2017",8.7,6127,Frank and Micro go looking for answers from a reluctant witness. Madani and Sam learn of a looming investigation. Rawlins sees a ghost.,tt5675620,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them."
The Punisher,1,6,The Judas Goat,"Nov 17, 2017",8.3,5851,"With Frank in bad shape, Micro calls on Curtis for help. Madani and Russo continue to mix business with pleasure. Lewis stands up for his rights.",tt5675620,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them."
The Punisher,1,7,Crosshairs,"Nov 17, 2017",8.7,5869,Lewis struggles with the ramifications of his actions. Frank and Micro pursue another face from the past. Madani and Sam go bug hunting.,tt5675620,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them."
The Punisher,1,8,Cold Steel,"Nov 17, 2017",8.8,5952,"Russo opens up to Madani about his past, Sarah shares her concerns about her son with Frank, and a decoy operation takes a turn.",tt5675620,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them."
The Punisher,1,9,Front Toward Enemy,"Nov 17, 2017",9.0,6098,"Following a deadly explosion, Karen lands in a bomber's crosshairs -- and Frank isn't happy about it. Meanwhile, Curtis makes a grisly discovery.",tt5675620,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them."
The Punisher,1,10,Virtue of the Vicious,"Nov 17, 2017",9.2,6970,An attack on a high-profile politician is examined (and reexamined) through different perspectives. Madani faces a painful truth.,tt5675620,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them."
The Punisher,1,11,Danger Close,"Nov 17, 2017",9.3,7424,"As danger knocks on Sarah's door, Frank takes his quest for vengeance to the next level with some help from an unexpected ally.",tt5675620,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them."
