tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
The Shield,1,1,Pilot,"Mar 12, 2002",8.5,2864,"While Dutch and Claudette investigate the murder of Nancy Reborg, they discover that her daughter is missing and has been sold by her addict father to a child molester. David tries to crack corruption in the Barn by recruiting Terry to help him take down Vic.",tt0286486
The Shield,1,2,Our Gang,"Mar 19, 2002",7.9,2352,"Following the shooting death of a police department informant, Aceveda turns up the heat in the investigation of Mackey and his Strike Team.",tt0286486
The Shield,1,3,The Spread,"Mar 26, 2002",7.7,2268,"It's warrant sweep day at the Barn. Vic and the Strike Team discover visiting NBA superstar Derrick Tripp hanging out with his ""homies"" before the evening game with the Lakers. Vic decides to do his part for the home team by keeping Tripp as a ""friendly hostage"". One of Vic's street informants, Connie, approaches him after having been roughed up by a new john. Vic hands off the case to Claudette and Dutch, who is convinced they're on the trail of a serial killer. Dutch's theories are proved wrong when he and Claudette ultimately discover that their perp is not a ...",tt0286486
The Shield,1,4,Dawg Days,"Apr 2, 2002",7.9,2209,"A dispute over an up-and-coming singer's success erupts in a gang war that threatens to bring Vic down, too; a case that could help Aceveda's political future sends Dutch and Claudette searching for a missing day laborer.",tt0286486
The Shield,1,5,Blowback,"Apr 9, 2002",8.5,2233,Mackey must recover the stolen evidence from a drug bust before Aceveda is able to pin the theft on him.,tt0286486
The Shield,1,6,Cherrypoppers,"Apr 16, 2002",8.3,2131,"As Dutch's theory about a serial killer preying on prostitutes proves true, he convinces Aceveda to launch an all out effort to find him before he strikes again; Julien decides to bring down Vic for stealing drugs.",tt0286486
The Shield,1,7,Pay in Pain,"Apr 23, 2002",8.0,2068,The murder of seven gang members has Vic be teamed with a Latino detective assigned to crack the case.,tt0286486
The Shield,1,8,Cupid & Psycho,"Apr 30, 2002",8.1,2105,"As the Strike Team is reassigned pending the investigation in the theft of evidence, Vic teams with Claudette in order to keep some deadly drugs off the street.",tt0286486
The Shield,1,9,Throwaway,"May 7, 2002",7.9,2055,Lemonhead sets out to make things right following his shooting of an unarmed man.,tt0286486
The Shield,1,10,Dragonchasers,"May 14, 2002",8.7,2215,"As Dutch uncovers a lead to the serial killer, a reporter questions force Aceveda to explain problems he thought were buried far in the past.",tt0286486
The Shield,1,11,Carnivores,"May 21, 2002",8.0,2020,A confrontation between a local drug dealer and Black Muslims places Vic in danger of being exposed.,tt0286486
The Shield,1,12,Two Days of Blood,"May 28, 2002",8.1,2108,"As a deployment policy leads to a double homicide that places Aceveda in the hot seat with potential voters, Vic is forced to help Gilroy avoid being implicated in a hit and run.",tt0286486
The Shield,1,13,Circles,"Jun 4, 2002",8.8,2131,"As cop killings strike Farmington, Aceveda is caught between two corrupt cops looking to save their own skins.",tt0286486
