tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
The Simpsons,1,1,Simpsons Roasting on an Open Fire,"Dec 17, 1989",8.2,7100,Homer is forced to become a department store Santa when Marge spends the family's Christmas savings on removing Bart's tattoo.,tt0096697
The Simpsons,1,2,Bart the Genius,"Jan 14, 1990",7.7,4700,Bart ends up at a school for gifted children after cheating on an IQ test.,tt0096697
The Simpsons,1,3,Homer's Odyssey,"Jan 21, 1990",7.4,4100,"After losing his job, Homer contemplates ending it all, until he discovers a new life path as a safety advocate.",tt0096697
The Simpsons,1,4,There's No Disgrace Like Home,"Jan 28, 1990",7.7,4100,"After being embarrassed by the rest of the family at a company picnic, Homer becomes obsessed with improving their behavior towards each other.",tt0096697
The Simpsons,1,5,Bart the General,"Feb 4, 1990",8.0,4400,"After being beaten up by Nelson Muntz one too many times, Bart turns to Grampa for help, and soon leads a rebellion against the school bully.",tt0096697
The Simpsons,1,6,Moaning Lisa,"Feb 11, 1990",7.7,3900,"A depressed Lisa's spirit is lifted when she meets a jazz-man, Bleeding Gums Murphy.",tt0096697
The Simpsons,1,7,The Call of the Simpsons,"Feb 18, 1990",7.8,3800,"Homer takes the family camping, but it soon becomes a misadventure when they lose their equipment and Homer is mistaken for Bigfoot.",tt0096697
The Simpsons,1,8,The Telltale Head,"Feb 25, 1990",7.7,3700,Bart gets more than he bargained for when he saws the head off a statue of the town's founder.,tt0096697
The Simpsons,1,9,Life on the Fast Lane,"Mar 18, 1990",7.5,3700,Marge contemplates an affair with a handsome bowling instructor.,tt0096697
The Simpsons,1,10,Homer's Night Out,"Mar 25, 1990",7.4,3500,"After a photograph of Homer canoodling with an exotic dancer is distributed throughout Springfield, he finds himself kicked out of the house by Marge.",tt0096697
The Simpsons,1,11,The Crepes of Wrath,"Apr 15, 1990",7.8,3600,"Bart is sent to France on a student exchange program, where he's treated like a slave; An Albanian student takes Bart's place in the family.",tt0096697
The Simpsons,1,12,Krusty Gets Busted,"Apr 29, 1990",8.4,4000,"After Krusty is found guilty of robbing the Kwik-E-Mart following Homer's eyewitness testimony, Bart and Lisa set out to prove his innocence.",tt0096697
The Simpsons,1,13,Some Enchanted Evening,"May 13, 1990",7.7,3900,"Homer and Marge enjoy a night on the town, leaving the kids with a diabolical babysitter, with a surprising secret.",tt0096697
The Simpsons,1,14,Bart Gets an F,"Oct 11, 1990",8.3,4000,"Mrs. Krabappel, fed up with Bart's lackadaisical approach to his studies, gives him an ultimatum: shape up or repeat the fourth grade.",tt0096697
The Simpsons,1,15,Simpson and Delilah,"Oct 18, 1990",8.2,4100,Homer lies on a medical insurance form in order to obtain a miracle hair restoring drug.,tt0096697
The Simpsons,1,16,Treehouse of Horror,"Oct 25, 1990",8.3,4200,"The Simpsons move into a cursed house, then are abducted by aliens, before Homer is ensconced in a tale by Edgar Allen Poe.",tt0096697
The Simpsons,1,17,Two Cars in Every Garage and Three Eyes on Every Fish,"Nov 1, 1990",8.1,3400,"After the power plant experiences bad publicity and is threatened with closure, Mr. Burns decides to run for Governor in order to have power over the law.",tt0096697
The Simpsons,1,18,Dancin' Homer,"Nov 8, 1990",7.4,3300,Homer's heckling of the Springfield Isotopes baseball team during one of their games inadvertently leads to his appointment as the new team mascot.,tt0096697
The Simpsons,1,19,Dead Putting Society,"Nov 15, 1990",8.0,3200,"In an attempt to show up Ned Flanders, Homer pits Bart against Ned's son, Todd, in a miniature golf competition.",tt0096697
The Simpsons,1,20,Bart vs. Thanksgiving,"Nov 22, 1990",7.7,3200,"On Thanksgiving, Bart runs away after fighting with Lisa.",tt0096697
