tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
The Sopranos,1,1,Pilot,"Jan 10, 1999",8.5,8325,A mobster passes out at a family barbecue and seeks therapy to understand why.,tt0141842
The Sopranos,1,2,46 Long,"Jan 17, 1999",8.4,6783,Tony is getting fed up with his mother. Brendan Filone acts against Tony's wishes. Salvatore and Paulie try to track down A.J.'s teacher's stolen car.,tt0141842
The Sopranos,1,3,"Denial, Anger, Acceptance","Jan 24, 1999",8.7,6606,"Tony encourages an unwanted son-in-law to divorce, Carmela learns another secret of Tony's, Meadow experiments with speed to study for the SATs, and Chris and Brendan find out the price of disrespecting Junior.",tt0141842
The Sopranos,1,4,Meadowlands,"Jan 31, 1999",8.7,6390,"Jackie's death leaves a power vacuum, Brendan's death leaves Chris fearing for his life, and Anthony's discovery of what his father really does leaves him confused.",tt0141842
The Sopranos,1,5,College,"Feb 7, 1999",9.0,7207,"While visiting colleges with Meadow, Tony spots a snitch. Carmela, meanwhile, discovers something about Dr. Melfi.",tt0141842
The Sopranos,1,6,Pax Soprana,"Feb 14, 1999",8.6,6061,"Tony tries to balance Junior against the other capos, while Carmela reasserts herself as the woman in Tony's life.",tt0141842
The Sopranos,1,7,Down Neck,"Feb 21, 1999",8.5,5873,"Anthony has disciplinary problems at school, prompting Tony to recount memories of his childhood with Dr. Melfi.",tt0141842
The Sopranos,1,8,The Legend of Tennessee Moltisanti,"Feb 28, 1999",8.7,5925,"The FBI begins closing in on the DiMeo family. Tony and Carmela are angry over all the attention Italians get from the authorities, while Chris fumes that he's not getting enough attention.",tt0141842
The Sopranos,1,9,Boca,"Mar 7, 1999",8.6,5839,"The capos discuss what to do about the local soccer coach, while Junior's mouth causes him some embarrassment.",tt0141842
The Sopranos,1,10,A Hit Is a Hit,"Mar 14, 1999",8.0,5757,"Tony tries to branch out into legitimate investments, while Chris and Adriana decide to try their hands at music production.",tt0141842
The Sopranos,1,11,Nobody Knows Anything,"Mar 21, 1999",8.8,5745,"Following the arrest of two of his men, Tony suspects a traitor. Efforts to discover who, however, are stymied.",tt0141842
The Sopranos,1,12,Isabella,"Mar 28, 1999",9.2,6297,"The stress Tony is going through begins to take its toll, and the hit Junior has ordered doesn't help.",tt0141842
The Sopranos,1,13,I Dream of Jeannie Cusamano,"Apr 4, 1999",9.2,6257,"Tony starts cleaning house, while Artie feels torn between keeping the peace in his household, and getting even with Tony for destroying his restaurant.",tt0141842
The Sopranos,2,1,Guy Walks Into a Psychiatrist's Office,"Jan 16, 2000",8.3,5394,"Pussy returns after months in hiding, Chris starts a boiler room stock operation, and Tony's long-lost sister shows up on the doorstep.",tt0141842
The Sopranos,2,2,Do Not Resuscitate,"Jan 23, 2000",8.2,5206,"Junior leaves prison due to ill health and placed under house arrest, while Livia's health also declines. Pussy begins talking with someone interested in learning more about Tony.",tt0141842
The Sopranos,2,3,Toodle-Fucking-Oo,"Jan 30, 2000",8.5,5193,Richie Aprile gets out after ten years in prison and starts reasserting his authority while unaware of the changes made in the crime family's archetype. Meadow gets in trouble after a party gets out of hand.,tt0141842
The Sopranos,2,4,Commendatori,"Feb 6, 2000",8.6,5563,"Tony, Paulie and Chris travel to Naples to conduct a business deal, while Pussy becomes more stressed over trying to balance his secret lives.",tt0141842
The Sopranos,2,5,Big Girls Don't Cry,"Feb 13, 2000",8.6,5145,"Paulie and Silvio get promoted, Furio gets welcomed, Pussy gets pushed aside, and Chris gets frustrated with his Hollywood aspirations.",tt0141842
The Sopranos,2,6,The Happy Wanderer,"Feb 20, 2000",8.7,5231,"Tony's old school friend digs himself into trouble with his gambling, while Tony's family problems only continue to grow.",tt0141842
The Sopranos,2,7,D-Girl,"Feb 27, 2000",8.7,5403,"Anthony continues to cause problems at home, while Pussy's divided loyalties cause him greater anguish.",tt0141842
The Sopranos,2,8,Full Leather Jacket,"Mar 5, 2000",8.9,5297,"Rebellion by some of the lower soldiers ends in bloodshed, while Carmela starts intimidating her neighbors to help Meadow's chances at Georgetown.",tt0141842
The Sopranos,2,9,From Where to Eternity,"Mar 12, 2000",8.8,5240,"Chris awakens from his coma with a message for Tony and Paulie. Carmela, meanwhile, wants Tony to take a cut.",tt0141842
The Sopranos,2,10,Bust-Out,"Mar 19, 2000",8.5,4949,"Tony continues putting the squeeze on David, while Richie discusses the possibility with Junior of removing some competition while 'Big Pussy' Bonpensiero continues to be an informant.",tt0141842
The Sopranos,2,11,House Arrest,"Mar 26, 2000",8.3,4931,"Junior feels the restrictions of his house arrest acutely, while Tony starts putting in hours at his actual job to allay FBI suspicions, while Junior and Richie uses the garbage pick up routes for a double purpose.",tt0141842
The Sopranos,2,12,The Knight in White Satin Armor,"Apr 2, 2000",9.4,5975,"Richie and Janice get engaged, but Richie's violent temper finally takes him too far. Tony, meanwhile, breaks up with Irina, much to her dismay.",tt0141842
The Sopranos,2,13,Funhouse,"Apr 9, 2000",9.4,6520,"Tony gets sick from food poisoning and blames Artie's restaurant. Pussy, meanwhile, reaches the end of the line.",tt0141842
The Sopranos,3,1,Mr. Ruggerio's Neighborhood,"Mar 4, 2001",8.7,5223,"The FBI has trouble finding a new informant, so they attempt to bug the Soprano home. Meanwhile, Anthony continues to get into trouble at school.",tt0141842
The Sopranos,3,2,"Proshai, Livushka","Mar 4, 2001",8.7,5168,"An unexpected death brings the whole family together one more time, and old tensions resurface while at the funeral.",tt0141842
The Sopranos,3,3,Fortunate Son,"Mar 11, 2001",8.5,4829,"Chris becomes a made man, while Tony experiences another panic attack. Meadow continues to seethe over Tony's treatment of her boyfriend.",tt0141842
The Sopranos,3,4,Employee of the Month,"Mar 18, 2001",9.1,5654,"Dr. Melfi is brutally attacked, and when the justice system lets her down, she must consider asking Tony for help.",tt0141842
