tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
The Twilight Zone,1,1,Where Is Everybody?,"Oct 2, 1959",8.0,5862,"Mike Ferris finds himself alone in the small Oakwood town and without recollection about his name, where he is or who he is. Mike wanders through the town trying to find a living soul. The tension increases and Mike has a breakdown.",https://www.imdb.com/title/tt0734692/,tt0052520,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner."
The Twilight Zone,1,2,One for the Angels,"Oct 9, 1959",7.6,4957,A pitchman is visited by Mr. Death and is forced to get his priorities in order.,https://www.imdb.com/title/tt0734609/,tt0052520,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner."
The Twilight Zone,1,3,Mr. Denton on Doomsday,"Oct 16, 1959",7.1,4215,The town drunk in the old-west faces his past when Fate lends a hand.,https://www.imdb.com/title/tt0734592/,tt0052520,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner."
The Twilight Zone,1,4,The Sixteen-Millimeter Shrine,"Oct 23, 1959",6.8,4085,"Barbara Jean Trenton is a faded film star who lives in the past by constantly re-watching her old movies instead of moving on with her life, so her associates try to lure her out of her self-imposed isolation.",https://www.imdb.com/title/tt0734626/,tt0052520,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner."
The Twilight Zone,1,5,Walking Distance,"Oct 30, 1959",8.3,5016,"A man travels back in time to his childhood, arriving just a few miles away from his native town.",https://www.imdb.com/title/tt0734689/,tt0052520,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner."
The Twilight Zone,1,6,Escape Clause,"Nov 6, 1959",7.3,3789,"A hypochondriac man sells his soul to the devil, exchanging it for several thousand years of immortality.",https://www.imdb.com/title/tt0734566/,tt0052520,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner."
The Twilight Zone,1,7,The Lonely,"Nov 13, 1959",8.1,4396,"A convict, living alone on an asteroid, receives from the police a realistic woman-robot.",https://www.imdb.com/title/tt0734656/,tt0052520,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner."
The Twilight Zone,1,8,Time Enough at Last,"Nov 20, 1959",8.9,6504,A henpecked book lover finds himself blissfully alone with his books after a nuclear war.,https://www.imdb.com/title/tt0734683/,tt0052520,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner."
The Twilight Zone,1,9,Perchance to Dream,"Nov 27, 1959",7.5,3719,"A fatigued man fights to stay awake as he explains to a psychiatrist that if he falls asleep it will trigger a nightmare, which will cause his heart to fail.",https://www.imdb.com/title/tt0734612/,tt0052520,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner."
The Twilight Zone,1,10,Judgment Night,"Dec 4, 1959",7.3,3364,"It's 1942, and a man finds himself on a ship in the Atlantic, not knowing who he is, nor how he got there. He does know the ship will soon be attacked by a German U-boat.",https://www.imdb.com/title/tt0734582/,tt0052520,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner."
