tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
The World at War,1,1,A New Germany: 1933-1939,"Sep 14, 1973",8.7,560,Program chronicles the draconian measures taken by Adolf Hitler to become absolute dictator of Germany and begin his domination of Europe.,https://www.imdb.com/title/tt1129863/,tt0071075,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
The World at War,1,2,Distant War: September 1939-May 1940,"Nov 7, 1973",8.3,444,"France and Great Britain enter World War 2 following Germany's invasion of Poland. But with the exception of its navy Britain is rather uncertain how to prepare. After a failed operation in Norway lead by Churchill, Chamberlain is, ironically, replaced as Prime Minister by Churchill.",https://www.imdb.com/title/tt1129867/,tt0071075,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
The World at War,1,3,France Falls: May-June 1940,"Nov 14, 1973",8.7,416,As their forces invade Northern Europe German strategists capitalize time and again on French preconceptions confounding French defenses.,https://www.imdb.com/title/tt1129868/,tt0071075,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
The World at War,1,4,Alone: May 1940-May 1941,"Nov 21, 1973",8.6,394,"In the end of May 1940, when the last French cities are captured by the Germans, half a million British and French soldiers retreat to the last channel port still open to them: Dunkerque. The following days Great Britain carries out the biggest evacuation in history. 330.000 French and British soldiers are picked up by boats and brought over the channel to England. Ge... Read all",https://www.imdb.com/title/tt1129864/,tt0071075,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
The World at War,1,5,Barbarossa: June-December 1941,"Nov 28, 1973",8.9,407,"Following the conquest of France Hitler, almost casually by blitzkrieg standards, turn his eyes toward Russia. But Stalin is equally lackadaisical in preparing defenses against Germany. The German invasion rapidly reaches the gates of Moscow where it is stopped cold by the onset of winter then crushed by the Russian counterattack.",https://www.imdb.com/title/tt1129866/,tt0071075,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
The World at War,1,6,Banzai! Japan 1931-1942,"Dec 5, 1973",8.5,363,Following Japan's conquest of eastern Asia the Allies finally respond with sanctions. They prove so threatening to Japan that it prepares to conquer Southeast Asia to secure the resources it needs. But first the threat from the British and American Pacific fleets must be eliminated.,https://www.imdb.com/title/tt1129865/,tt0071075,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
The World at War,1,7,On Our Way: U.S.A. 1939-1942,"Dec 12, 1973",8.4,348,"Although those in the know figured it was just a matter of time, the United States only reluctantly participated in World War 2. But it was not a foregone conclusion that the United States would side against both Germany and Japan. Japan's attack on Pearl Harbor precipitated a quick decision. But in Germany's case a long series of mutual provocations, some intended, s... Read all",https://www.imdb.com/title/tt1129876/,tt0071075,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
The World at War,1,8,The Desert: North Africa - 1940-1943,"Dec 19, 1973",8.5,334,"In 1940 Mussolini deploys a massive army to invade British held Egypt, to capture the Suez Canal and most of all to establish an Italian empire to rival Germany's. So begins a multi-year campaign over a meaningless stretch of desert involving forces from a dozen nations and characterized by persistent attackers, stubborn defenders and ultimately controlled by supply l... Read all",https://www.imdb.com/title/tt1129883/,tt0071075,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
The World at War,1,9,Stalingrad: June 1942-February 1943,"Jan 2, 1974",9.0,370,Germany is dealt a crushing defeat when the Russians' stubborn defense of Stalingrad delays the German offensive giving the Russians time to mass their forces for a counter attack that surrounds then destroys the German Sixth Army and its supporting forces.,https://www.imdb.com/title/tt1129881/,tt0071075,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
The World at War,1,10,Wolf Pack: U-Boats in the Atlantic - 1939-1944,"Jan 9, 1974",8.3,321,For three years German u-boats ravage transatlantic convoys. Despite the critical need for the supplies and materiel British leadership give scant attention to the matter for two years. Finally in 1943 the allies begin introducing new tactics and weapons while Germany continues to focus on the numbers game.,https://www.imdb.com/title/tt1129886/,tt0071075,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
The World at War,1,11,Red Star: The Soviet Union - 1941-1943,"Jan 16, 1974",8.8,342,"Bent on fulfilling Hilter's policy of colonizing Russia, German forces invade subjecting inhabitants of occupied lands to servitude or death. Russians respond with a mass evacuation and scorched earth policy, reestablishing their industrial capacity far to the east. After German forces fail to break Lenigrade or to capture Kursk and the surrounding Russian forces Russ... Read all",https://www.imdb.com/title/tt1129879/,tt0071075,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
The World at War,1,12,Whirlwind: Bombing Germany - September 1939-April 1944,"Jan 23, 1974",8.4,315,While the British continue to rely on night bombing the American forces attempt to use more dangerous but more precise daylight bombing to interdict German military production and crush the national will.,https://www.imdb.com/title/tt1129885/,tt0071075,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
The World at War,1,13,Tough Old Gut: Italy - November 1942-June 1944,"Jan 30, 1974",8.4,302,"After driving the Germans from North Africa the Allies turn their sites on Italy. But the Italian campaign turned out to be tougher the anyone expected. American reluctance to divert resources from the planned Normandy invasion, geographic challenges and German reinforcements hinders the Allied campaign which continued until the eve of the Normandy invasion.",https://www.imdb.com/title/tt1129884/,tt0071075,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
The World at War,1,14,It's a Lovely Day Tomorrow: Burma - 1942-1944,"Feb 6, 1974",8.5,298,Allied forces were totally unprepared for the Japanese invasion of Burma in 1942. The Japanese quickly overran the country. The Allies counter-attacked using troops unfamiliar with jungle warfare which were unsuccessful against the Japanese guerrilla forces. But the Allies persisted and gradually adapted to the jungle environment. As additional forces arrived the Alli... Read all,https://www.imdb.com/title/tt1130691/,tt0071075,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
The World at War,1,15,Home Fires: Britain - 1940-1944,"Feb 13, 1974",8.1,293,"The war effort required total commitment from British citizens stretching their bodies and spirits to the breaking point and occasionally beyond it. As a result of grim news early in the war, German bombing of British cities and disagreements on critical policies Churchill faced a no confidence vote. But extraordinary measures gradually put the kingdom on an effective... Read all",https://www.imdb.com/title/tt1129870/,tt0071075,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
The World at War,1,16,Inside the Reich: Germany - 1940-1944,"Feb 20, 1974",8.8,318,Germany is jubilant after the surrender of France. Then the unsuccessful expansion of the war to include Russia and England gradually turns German morale from joy to fatalism. Even der Führer falls victim to the insidious fatalism caused first by the crushing defeat at Stalingrad then the bunker bombing that nearly killed him. All the while the tightening Nazi grip an... Read all,https://www.imdb.com/title/tt1129871/,tt0071075,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
The World at War,1,17,Morning: June-August 1944,"Feb 27, 1974",8.9,304,Four years after France fell the Allies invade Normandy. Caught by surprise the German defenses are quickly overcome. Heading inland the Allies win major victories against fierce resistance.,https://www.imdb.com/title/tt1129873/,tt0071075,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
The World at War,1,18,Occupation: Holland - 1940-1944,"Mar 13, 1974",8.6,287,"The Dutch are shocked when the Germans bomb Rotterdam and invade their neutral country. But Germany follows with insidious conciliatory gestures that ease tensions. Germany gradually exploits the populace with conscriptions, forced labor and deportation of Jewish citizens. Finally anticipating liberation as the Allies move westward, Dutch suffering intensifies. As the... Read all",https://www.imdb.com/title/tt1129875/,tt0071075,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
The World at War,1,19,Pincers: August 1944-March 1945,"Mar 20, 1974",8.5,283,"As the Allies debate how to prosecute the the invasion of Germany, Hitler settles the question with a massive counter attack in the Ardenne. Failure of the attack leaves German defenses of the Western Front in shambles. Meanwhile, Russian forces are also closing in but Stalin orders a pause so the SS can crush the Polish resistance.",https://www.imdb.com/title/tt1129878/,tt0071075,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
The World at War,1,20,Genocide: 1941-1945,"Mar 27, 1974",9.1,357,"The history of the Nazi persecution of the Jews, showing events leading to the ""Final Solution"". Footage and Interviews with SS officers and Jewish survivors from various countries describe how the extermination camps operated and what existence was like there.",https://www.imdb.com/title/tt1129869/,tt0071075,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
The World at War,1,21,Nemesis: Germany - February-May 1945,"Apr 3, 1974",8.9,299,"The closing weeks of the European war bring retribution for Germany in the form of carpet bombing cities like Dresden, the collapse of the Whermacht, atrocities by Soviet forces, and finally the fall of Berlin and suicide of Hitler.",https://www.imdb.com/title/tt1129874/,tt0071075,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
The World at War,1,22,Japan: 1941-1945,"Apr 10, 1974",8.5,280,"After the victories in 1941-2, Japanese fortunes reverse as America succeeds in destroying their aircraft fleet and Pacific island bases. At home, shortages of goods and manpower lead to desperation for the population.",https://www.imdb.com/title/tt1129872/,tt0071075,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
The World at War,1,23,Pacific: February 1942-July 1945,"Apr 17, 1974",8.7,284,"The island hopping strategy of Admiral Nimitz and General MacArthur leads from one costly, battle after another. The Japanese fight fanatically as the war gets ever closer to home, but Americans finally use their newest weapon, the A-bomb.",https://www.imdb.com/title/tt1129877/,tt0071075,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
The World at War,1,24,The Bomb: February-September 1945,"Apr 24, 1974",8.9,287,Following the events from the death of US President Roosevelt through to the dropping of the two bombs on Hiroshima and Nagasaki that prompted Japan's surrender.,https://www.imdb.com/title/tt1129882/,tt0071075,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
The World at War,1,25,Reckoning: 1945... and After,"May 1, 1974",8.6,269,"As wretched survivours suffer deprivations amongst the ruins, half of Germany and eastern Europe trade one socialist tyranny for another as the Soviets take power. Japan is occupied by the U. S., but the colonial empires disintegrate.",https://www.imdb.com/title/tt1130692/,tt0071075,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
The World at War,1,26,Remember,"May 8, 1974",8.6,281,For many the Second World War was the most significant experience of their lives. These are heartbreaking first hand remembrances from a vast array of survivors from both sides of the war.,https://www.imdb.com/title/tt1129880/,tt0071075,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
