tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
The X-Files,1,1,Pilot,"Sep 10, 1993",8.3,11000,"Agent Dana Scully is instructed to debunk an FBI project dubbed ""The X-Files,"" paranormal cases that have been reopened by Agent Fox Mulder.",https://www.imdb.com/title/tt0170817/,tt0106179,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts."
The X-Files,1,2,Deep Throat,"Sep 17, 1993",8.1,6600,Mulder and Scully investigate the mysterious case of a military test pilot who disappeared after experiencing strange psychotic behaviour.,https://www.imdb.com/title/tt0751099/,tt0106179,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts."
The X-Files,1,3,Squeeze,"Sep 24, 1993",8.6,7000,Mulder and Scully search for a humanoid killer whose savage murder spree reoccurs every 30 years.,https://www.imdb.com/title/tt0751208/,tt0106179,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts."
The X-Files,1,4,Conduit,"Oct 1, 1993",7.5,5700,"Mulder becomes obsessed with solving a case that closely parallels an ""encounter"" he experienced as a child.",https://www.imdb.com/title/tt0751094/,tt0106179,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts."
The X-Files,1,5,The Jersey Devil,"Oct 8, 1993",7.0,5700,Mulder and Scully track a legendary creature that has roamed the New Jersey countryside for over 40 years.,https://www.imdb.com/title/tt0751229/,tt0106179,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts."
The X-Files,1,6,Shadows,"Oct 22, 1993",7.2,5400,Mulder and Scully investigate the deaths of two men believed to have been killed by a powerful psychokinetic force.,https://www.imdb.com/title/tt0751201/,tt0106179,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts."
The X-Files,1,7,Ghost in the Machine,"Oct 29, 1993",6.7,5300,"On Halloween, Mulder and Scully investigate the death of a corporate executive who may have been murdered by a thinking computer.",https://www.imdb.com/title/tt0751131/,tt0106179,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts."
The X-Files,1,8,Ice,"Nov 5, 1993",8.7,6800,Mulder and Scully are sent to investigate when a team of geophysicists stationed at a remote Alaskan outpost are killed by a parasitic alien life form.,https://www.imdb.com/title/tt0751141/,tt0106179,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts."
The X-Files,1,9,Space,"Nov 12, 1993",6.2,5300,"When a space shuttle mission is sabotaged, Mulder suspects it may be the work of an alien spirit that inhabits the body of a former Gemini astronaut.",https://www.imdb.com/title/tt0751207/,tt0106179,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts."
The X-Files,1,10,Fallen Angel,"Nov 19, 1993",7.8,5200,The future of the X-Files project is jeopardized after Mulder secretly infiltrates the government cover-up of a UFO crash.,https://www.imdb.com/title/tt0751120/,tt0106179,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts."
