tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
This Is Us,1,1,Pilot,"Sep 20, 2016",9.2,6041,Rebecca goes into an early labor; Randall finds his biological father; Kevin faces a personal and professional crisis; Kate finds herself at a low point.,https://www.imdb.com/title/tt5734500/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,1,2,The Big Three,"Sep 27, 2016",8.5,3458,Jack and Rebecca struggle with raising a family; Beth grows suspicious of William; Kate stresses over her weight loss; Kevin faces fallout from his meltdown.,https://www.imdb.com/title/tt5924012/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,1,3,Kyle,"Oct 11, 2016",8.6,3230,"Rebecca pays a surprise visit, Kevin makes plans to move, and Toby prepares a special day for Kate.",https://www.imdb.com/title/tt6099382/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,1,4,The Pool,"Oct 18, 2016",8.8,3227,Jack and Rebecca take their kids to the community pool; Kevin experiences his first NYC audition; Kate stalks Toby's ex; William's past sends Randall spinning.,https://www.imdb.com/title/tt6085956/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,1,5,The Game Plan,"Oct 25, 2016",8.7,3106,"Jack and Rebecca disagree about the future, Toby makes a gesture to Kate which backfires, Beth surprises Randall, while Kevin and William have a heart-to-heart.",https://www.imdb.com/title/tt6098130/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,1,6,Career Days,"Nov 1, 2016",8.5,2620,"Jack and Rebecca face a dilemma, Randall puts his foot down, Kate lands a new job, and Kevin finds himself in an unusual situation.",https://www.imdb.com/title/tt6072420/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,1,7,The Best Washing Machine in the Whole World,"Nov 15, 2016",8.5,2525,"Old tensions between Kevin and Randall resurface, Beth discovers a secret, while Toby makes a change which knocks Kate off course.",https://www.imdb.com/title/tt6115024/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,1,8,Pilgrim Rick,"Nov 22, 2016",9.0,3125,"As Jack and Rebecca face a disastrous Thanksgiving, the family gather at Randall's house for the occasion.",https://www.imdb.com/title/tt6072390/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,1,9,The Trip,"Nov 29, 2016",8.6,2721,"As Jack and Rebecca deal with Randall's questions about his parents, the siblings head to the family cabin for a post-Thanksgiving trip.",https://www.imdb.com/title/tt6034056/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,1,10,Last Christmas,"Dec 6, 2016",8.9,2925,"At Christmas, Jack and Rebecca are unexpectedly reunited with an old friend, while Kevin, Randall and Kate face different holiday dramas.",https://www.imdb.com/title/tt6115034/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,1,11,The Right Thing to Do,"Jan 10, 2017",8.3,2287,"Jack and Rebecca receive surprising news, Kate tries to help Toby, Randall feels conflicted about William and Jessie, while Kevin must make a choice.",https://www.imdb.com/title/tt6142654/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,1,12,The Big Day,"Jan 17, 2017",8.9,2884,"As Rebecca's pregnancy drags on, she forgets Jack's birthday, Nathan copes with his grief, and Randall inadvertently intervenes in a difficult marriage.",https://www.imdb.com/title/tt6142658/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,1,13,Three Sentences,"Jan 24, 2017",8.7,2599,Jack and Rebecca throw three separate birthday parties; Toby helps Kevin with a romantic gesture; Kate gets a new plan; Randall helps William with his bucket list.,https://www.imdb.com/title/tt6142662/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,1,14,I Call Marriage,"Feb 7, 2017",8.3,2182,"Jack and Rebecca receive shocking news, Randall feels pressure both at work and at home, Kate's plans are thrown off kilter, and Kevin tries to win over Sophie.",https://www.imdb.com/title/tt6142660/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,1,15,Jack Pearson's Son,"Feb 14, 2017",8.9,2780,Jack and Rebecca's Valentine's Day goes south; Toby and Kate dig deep; Kevin preps for opening night; A tightly wound Randall begins to unravel.,https://www.imdb.com/title/tt6142664/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,1,16,Memphis,"Feb 21, 2017",9.5,4586,"Randall and William take a road trip to Memphis, where Randall learns about William's past.",https://www.imdb.com/title/tt6142668/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,1,17,What Now?,"Mar 7, 2017",8.9,2581,"Jack and Rebecca argue before the beginning of her tour, Kevin faces another opening night, while the entire family gathers at Randall's for an unusual party.",https://www.imdb.com/title/tt6142666/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,1,18,Moonshadow,"Mar 14, 2017",8.6,2379,"Jack attempts to meet Rebecca and make things right; Kate, Kevin and Randall make important decisions about their respective futures.",https://www.imdb.com/title/tt6142670/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,2,1,A Father's Advice,"Sep 26, 2017",8.8,2510,"The Big Three celebrate their 37th birthdays, and make changes in their lives; Jack and Rebecca pick up the pieces after their fight.",https://www.imdb.com/title/tt6439846/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,2,2,A Manny-Splendored Thing,"Oct 3, 2017",8.4,2070,"The Pearson family visits Kevin on set in Los Angeles for a ""Manny"" taping; Jack confronts his demons.",https://www.imdb.com/title/tt6439842/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,2,3,Déjà Vu,"Oct 10, 2017",8.4,2019,Rebecca and Jack struggle to reconnect; Kate visits Kevin on set of his movie; Randall and Beth get exciting news.,https://www.imdb.com/title/tt6439850/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,2,4,Still There,"Oct 17, 2017",8.3,2053,Randall and Beth adjust to a new family dynamic; Kate books her first big gig; Kevin suffers a setback; Jack and Rebecca are visited by an unwelcome guest.,https://www.imdb.com/title/tt6439852/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,2,5,Brothers,"Oct 24, 2017",8.3,2225,Kevin and Randall attend a charity fundraiser for Sophie's hospital; Jack takes the boys camping; Rebecca deals with some unexpected news.,https://www.imdb.com/title/tt6439856/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,2,6,The 20's,"Oct 31, 2017",8.4,2177,Trick-or-treating with the kids goes awry for Jack and Rebecca; The Big Three have life-changing Halloweens.,https://www.imdb.com/title/tt6439858/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,2,7,The Most Disappointed Man,"Nov 7, 2017",8.7,2114,Randall adjusts to the foster system; Kate and Toby take the next step in their relationship; Jack and Rebecca finalize Randall's adoption.,https://www.imdb.com/title/tt6439854/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,2,8,Number One,"Nov 14, 2017",9.1,2893,Kevin goes back to his high school to accept an award; Jack and Rebecca get excited about their kids' futures.,https://www.imdb.com/title/tt6439848/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,2,9,Number Two,"Nov 21, 2017",8.6,2165,Kate and Toby's lives take an unexpected turn; Rebecca encourages Kate's singing aspirations.,https://www.imdb.com/title/tt6439860/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,2,10,Number Three,"Nov 28, 2017",8.8,2274,Randall and Beth are faced with a hard choice; Jack takes Randall on a college tour.,https://www.imdb.com/title/tt6439864/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,2,11,The Fifth Wheel,"Jan 9, 2018",9.2,2503,The Pearsons come together under unexpected circumstances; Jack surprises the family.,https://www.imdb.com/title/tt6439862/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,2,12,Clooney,"Jan 16, 2018",8.3,1957,Kate goes wedding dress shopping; Kevin embraces a new lifestyle; Randall explores William's past; Jack and Rebecca take the kids to the mall.,https://www.imdb.com/title/tt6439866/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,2,13,That'll Be the Day,"Jan 23, 2018",9.3,3120,Kevin helps Randall and Beth with a project; Kate contemplates a big gift for Toby; Jack and Rebecca talk about their future.,https://www.imdb.com/title/tt6439868/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,2,14,Super Bowl Sunday,"Feb 4, 2018",9.7,5641,Randall hosts a Super Bowl party; Kevin and Kate reconnect with their past.,https://www.imdb.com/title/tt6439870/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,2,15,The Car,"Feb 6, 2018",9.2,2462,The history of the Pearsons told through the life of the family car; Rebecca finds solace with an old friend.,https://www.imdb.com/title/tt6439884/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,2,16,"Vegas, Baby","Feb 27, 2018",8.0,1982,Kate and Toby go to Las Vegas for their bachelor/bachelorette parties; Jack and Rebecca celebrate their anniversary.,https://www.imdb.com/title/tt6439876/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,2,17,"This Big, Amazing, Beautiful Life","Mar 6, 2018",7.7,2143,Déjà's life unfolds from the very beginning; Randall and Beth welcome visitors to their home.,https://www.imdb.com/title/tt6439880/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,2,18,The Wedding,"Mar 13, 2018",8.7,2173,Kevin and Randall struggle to pull off the big day; Kate is flooded with memories of Jack; Deja struggles to adjust to her new living situation.,https://www.imdb.com/title/tt6439882/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,3,1,Nine Bucks,"Sep 25, 2018",8.7,1593,The Big Three find themselves on new paths as they celebrate their 38th birthdays; Jack and Rebecca go on their first date; Deja turns a corner.,https://www.imdb.com/title/tt6439874/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,3,2,A Philadelphia Story,"Oct 2, 2018",8.2,1312,The Pearsons gather to support Kevin at his movie premiere; The teenage Big Three make college decisions.,https://www.imdb.com/title/tt6439878/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,3,3,Katie Girls,"Oct 9, 2018",8.6,1386,The Pearsons rally around Kate as she undergoes a medical procedure.,https://www.imdb.com/title/tt6439890/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,3,4,Vietnam,"Oct 16, 2018",8.1,1516,A young Jack makes a decision that will impact the course of his life.,https://www.imdb.com/title/tt6439900/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,3,5,Toby,"Oct 23, 2018",8.2,1236,Kate and Toby try to keep busy while waiting for big news; Randall embarks on a new journey; Kevin meets someone from his father's past.,https://www.imdb.com/title/tt6439894/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,3,6,Kamsahamnida,"Oct 30, 2018",8.4,1234,"Kate struggles with Toby's depression; Randall makes time for Kevin, who obsesses about Jack's past.",https://www.imdb.com/title/tt6439896/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,3,7,Sometimes,"Nov 13, 2018",8.4,1254,"Kevin and Zoe land in Vietnam; in the past, Jack and Rebecca take a road trip to Los Angeles; Jack's war story continues to be revealed.",https://www.imdb.com/title/tt6439898/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,3,8,Six Thanksgivings,"Nov 20, 2018",8.2,1220,"The Pearsons have an unconventional Thanksgiving dinner; In the past, Jack, Rebecca and the big three spend Thanksgiving with Miguel.",https://www.imdb.com/title/tt6439886/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,3,9,The Beginning Is the End Is the Beginning,"Nov 27, 2018",8.8,1431,Kevin arrives at the village his father served in; Kate pursues a new opportunity; Randall debates Councilman Solomon Brown; Jack struggles to get through to his brother.,https://www.imdb.com/title/tt6439888/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
This Is Us,3,10,The Last Seven Weeks,"Jan 15, 2019",8.4,1188,Randall's campaign comes to a close. Kevin meets someone from Zoe's past. Kate and Toby get ready for the baby.,https://www.imdb.com/title/tt6439892/,tt5555260,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
