tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Through the Wormhole,1,1,Is There a Creator?,"Jun 9, 2010",8.0,358,This program examines some recent scientific theories of the universe and conceptions about God they may suggest.,https://www.imdb.com/title/tt1655346/,tt1513168,
Through the Wormhole,1,2,The Riddle of Black Holes,"Jun 16, 2010",8.3,274,After reviewing theories about how black holes form and how they were detected this program looks at their counterintuitive behavior that makes them seem so bizarre.,https://www.imdb.com/title/tt1669757/,tt1513168,
Through the Wormhole,1,3,Is Time Travel Possible?,"Jun 23, 2010",8.2,262,"But if we succeed with time travel, what are the consequences of such freedom? Will we get trapped in a plethora of paradoxes and multiple universes that will destroy the fabric of the universe?",https://www.imdb.com/title/tt1669756/,tt1513168,
Through the Wormhole,1,4,What Happened Before the Beginning?,"Jun 30, 2010",8.3,241,Following a review of the discovery and evidence for the Big Bang this program examines the progress of scientists trying to determine what went on before the Big Bang that could have caused it.,https://www.imdb.com/title/tt1667180/,tt1513168,
Through the Wormhole,1,5,How Did We Get Here?,"Jul 7, 2010",7.9,200,Scientists explore a variety of ways that life may have formed on earth and try to recreate them.,https://www.imdb.com/title/tt1669755/,tt1513168,
Through the Wormhole,1,6,Are We Alone?,"Jul 14, 2010",7.9,206,This program considers the likelihood that intelligent life exists elsewhere in the universe and the prospects that it may inhabit a nearby planet. Then the various methods being used to look for alien intelligence are reviewed.,https://www.imdb.com/title/tt1669753/,tt1513168,
Through the Wormhole,1,7,What Are We Really Made Of?,"Jul 21, 2010",8.1,192,This program delves deep into the atom to find the ultimate constituents of matter focusing finally on the theoretical Higgs Boson.,https://www.imdb.com/title/tt1669758/,tt1513168,
Through the Wormhole,1,8,Beyond the Darkness,"Jul 28, 2010",8.2,191,Scientists have discovered that the universe we see is an incidental component of all there is. This program explains how dark matter and dark energy were discovered and how scientists are struggling to understand them.,https://www.imdb.com/title/tt1669754/,tt1513168,
Through the Wormhole,2,1,Is There Life After Death?,"Jun 8, 2011",7.5,187,Science is a long way from answering the question posed in this program. But exploring it has proved a fertile avenue for investigation into what exactly is consciousness and self-awareness.,https://www.imdb.com/title/tt1757576/,tt1513168,
Through the Wormhole,2,2,Is There an Edge to the Universe?,"Jun 15, 2011",8.2,167,"To the average person it seems obvious that the universe must have an edge. Yet most cosmologists think that like a ball, or more likely a bagel, the universe has no end, other then a temporal one - a beginning and, perhaps, an end. But several scientists agree with the common man that there is an edge to the universe and they have some definite ideas about what is beyond the edge and how to prove their case.",https://www.imdb.com/title/tt1969883/,tt1513168,
