tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Trailer Park Boys,1,1,Take Your Little Gun and Get Out of My Trailer Park,"Apr 22, 2001",7.5,857,"After spending 18 months in jail, Sunnyvale's Ricky and Julian head home, looking to get things back on track. But when they return, a bully has taken control of their beloved park.",https://www.imdb.com/title/tt0732920/,tt0290988,Three petty felons have a documentary made about their life in a trailer park.
Trailer Park Boys,1,2,Fuck Community College. Let's Get Drunk and Eat Chicken Fingers,"Apr 29, 2001",7.8,700,Julian decides it's time he left Sunnyvale Trailer Park and actually do something productive with his life and chooses to go to a community college.,https://www.imdb.com/title/tt0732906/,tt0290988,Three petty felons have a documentary made about their life in a trailer park.
Trailer Park Boys,1,3,Mr. Lahey's Got My Porno Tape!,"May 6, 2001",8.1,679,"Ricky and Bubbles both agree to star in J-Roc's new porn, but Ricky can't go through with it, forcing Bubbles to take his place in a real steamy scene.",https://www.imdb.com/title/tt0732914/,tt0290988,Three petty felons have a documentary made about their life in a trailer park.
Trailer Park Boys,1,4,Mrs. Peterson's Dog Gets Fucked Up,"May 13, 2001",8.1,636,Ricky lets a dog eat a tray of hash brownies and has to take it to the veterinarian. He must then run errands for the vet to pay for it.,https://www.imdb.com/title/tt0732915/,tt0290988,Three petty felons have a documentary made about their life in a trailer park.
Trailer Park Boys,1,5,"I'm Not Gay, I love Lucy. Wait a Second, Maybe I am Gay","May 20, 2001",8.0,588,Julian decides to get Ricky to marry Lucy so they'll both get off his back. He goes with Ricky to get a ring (by breaking into a house) and to get him a job (by asking Levi).,https://www.imdb.com/title/tt0732909/,tt0290988,Three petty felons have a documentary made about their life in a trailer park.
Trailer Park Boys,1,6,Who the Hell Invited These Idiots to My Wedding?,"May 27, 2001",8.6,624,"Lucy asks Julian to plan the wedding because she thinks Ricky is not up to it, but his plans cause the cops to show up and ruin the wedding.",https://www.imdb.com/title/tt0732932/,tt0290988,Three petty felons have a documentary made about their life in a trailer park.
Trailer Park Boys,1,7,What in the Fuck Happened to Our Trailer Park?,"Jun 23, 2002",8.4,571,"Ricky and Julian have spent another 6 months in jail, and when they return to Sunnyvale Trailer Park its a disaster. The pair inform Bubbles of their intention to start a grow op.",https://www.imdb.com/title/tt0732930/,tt0290988,Three petty felons have a documentary made about their life in a trailer park.
Trailer Park Boys,1,8,Jim Lahey Is a Drunk Bastard,"Jun 30, 2002",8.4,565,"Ricky and Julian must ensure that Lahey wins the trailer park supervisor election over Sam Losco, a rival of the boys.",https://www.imdb.com/title/tt0732912/,tt0290988,Three petty felons have a documentary made about their life in a trailer park.
Trailer Park Boys,1,9,I've Met Cats and Dogs Smarter Than Trevor and Cory,"Jul 7, 2002",8.5,580,"Ricky and Julian open a disco bar in J-Roc's trailer to earn the extra cash they need to expand their grow op, without tipping off Lahey.",https://www.imdb.com/title/tt0732910/,tt0290988,Three petty felons have a documentary made about their life in a trailer park.
Trailer Park Boys,1,10,A Dope Trailer Is No Place for a Kitty,"Jul 14, 2002",8.5,582,"When the boys dope plants become infested with insects, Ricky and Julian put the surviving plants in Bubbles' shed, leading to a flaming finish.",https://www.imdb.com/title/tt0732898/,tt0290988,Three petty felons have a documentary made about their life in a trailer park.
Trailer Park Boys,1,11,The Bible Pimp,"Jul 21, 2002",8.8,612,A couple pretending to be a preacher and his daughter show up in Sunnyvale and look to make some cash selling bibles.,https://www.imdb.com/title/tt0732922/,tt0290988,Three petty felons have a documentary made about their life in a trailer park.
Trailer Park Boys,1,12,Never Trust a Man with No Shirt On,"Jul 28, 2002",8.6,556,"Randy joins the boys in their life of crime, but when they find out Randy has just been spying for Lahey, their dope operation is put in jeopardy.",https://www.imdb.com/title/tt0732917/,tt0290988,Three petty felons have a documentary made about their life in a trailer park.
Trailer Park Boys,1,13,The Bare Pimp Project,"Aug 4, 2002",8.9,602,"Julian encourages J-Roc to shoot another porno, but it's all a ruse to make Barb dump Sam. Ricky finally gets his grade 10 and Julian sells the hash.",https://www.imdb.com/title/tt0732923/,tt0290988,Three petty felons have a documentary made about their life in a trailer park.
Trailer Park Boys,1,14,The Kiss of Freedom,"May 4, 2003",8.5,509,"Out of prison yet again, Ricky and Julian are free and rich after making a large dope sale to the guards and inmates.",https://www.imdb.com/title/tt0732926/,tt0290988,Three petty felons have a documentary made about their life in a trailer park.
Trailer Park Boys,1,15,Temporary Relief Assistant Trailer Park Supervisor,"May 11, 2003",8.6,509,"Randy is suspended by Barb Lahey, entitling Ricky to the new position of temporary relief assistant trailer park supervisor.",https://www.imdb.com/title/tt0732921/,tt0290988,Three petty felons have a documentary made about their life in a trailer park.
Trailer Park Boys,1,16,Who's the Microphone Assassin?,"May 25, 2003",8.7,553,The boys put on a rap concert in celebration of J-Roc's new album. Things begin to go awry when J-Roc is caught masturbating.,https://www.imdb.com/title/tt0732933/,tt0290988,Three petty felons have a documentary made about their life in a trailer park.
Trailer Park Boys,1,17,Closer to the Heart,"Jun 1, 2003",9.2,738,"When Randy and Lahey rip the boys off on buying Rush tickets, Ricky ""borrows"" guitarist Alex Lifeson for access to the concert.",https://www.imdb.com/title/tt0732901/,tt0290988,Three petty felons have a documentary made about their life in a trailer park.
Trailer Park Boys,1,18,Where in the Fuck Is Randy's Barbeque?,"Jun 8, 2003",8.7,513,Ricky makes a plan to get rich by using kids to help him steal barbecues.,https://www.imdb.com/title/tt0732931/,tt0290988,Three petty felons have a documentary made about their life in a trailer park.
Trailer Park Boys,1,19,The Delusions of Officer Jim Lahey,"Jun 15, 2003",8.6,490,It's the anniversary of Mr. Lahey's being fired from the police force.,https://www.imdb.com/title/tt0798774/,tt0290988,Three petty felons have a documentary made about their life in a trailer park.
Trailer Park Boys,1,20,A Shit Leopard Can't Change Its Spots,"Jun 22, 2003",8.8,506,"When he realizes that he has no ticket for the upcoming cruise and is being evicted from the trailer park, Ricky is determined to go back to jail.",https://www.imdb.com/title/tt0732900/,tt0290988,Three petty felons have a documentary made about their life in a trailer park.
Trailer Park Boys,1,21,If I Can't Smoke and Swear. I'm Fucked,2003,8.9,593,"Julian has a new plan that involves committing many small crimes so they can't go to jail, and saving the money for a cruise.",https://www.imdb.com/title/tt0732911/,tt0290988,Three petty felons have a documentary made about their life in a trailer park.
Trailer Park Boys,1,22,Never Cry Shitwolf,"Apr 11, 2004",8.6,497,"After spending another 8 months behind bars, Julian, Mr. Lahey and Randy are released. They are surprised when Ricky is the new supervisor of Sunnyvale.",https://www.imdb.com/title/tt0732916/,tt0290988,Three petty felons have a documentary made about their life in a trailer park.
Trailer Park Boys,1,23,A Man's Gotta Eat,"Apr 18, 2004",8.7,499,"Rickys term as Supervisor has left Julian with no trailer and illegal business in his name. Randy and Lahey have difficulties in their new life, which forces Randy to return to prostitution. Bubbles and Ricky unveil their fields to Julian.",https://www.imdb.com/title/tt0732899/,tt0290988,Three petty felons have a documentary made about their life in a trailer park.
Trailer Park Boys,1,24,Rub n Tiz'zug,"Apr 25, 2004",8.6,489,The Boys end up attacking each other due to a misunderstanding. The Boys make Cory and Trevor steal furniture. Julian decides to use their trailers for a 'rub-n-tug'. The girls that they get for the massage parlor are Cyrus's girls.,https://www.imdb.com/title/tt0732919/,tt0290988,Three petty felons have a documentary made about their life in a trailer park.
Trailer Park Boys,1,25,The Green Bastard,"May 2, 2004",8.8,522,"Ricky decides to hold a community day in the park, alongside Lahey's acceptance of a trailer park supervisor award. The community day also gives Bubbles a chance to become his wrestling alter-ego, the Green Bastard from parts unknown.",https://www.imdb.com/title/tt0732925/,tt0290988,Three petty felons have a documentary made about their life in a trailer park.
Trailer Park Boys,1,26,Conky,"May 9, 2004",9.0,622,"Bubble has a toothache but refuses to go to the hospital without his puppet, Conky. But Ricky and Julian threw him away, so now they must find him.",https://www.imdb.com/title/tt0732902/,tt0290988,Three petty felons have a documentary made about their life in a trailer park.
Trailer Park Boys,1,27,"If You Love Something, Set It Free","May 16, 2004",8.6,482,Something in the night attacks the boys while they're working their pot field.,https://www.imdb.com/title/tt0795903/,tt0290988,Three petty felons have a documentary made about their life in a trailer park.
Trailer Park Boys,1,28,"Propane, Propane","May 23, 2004",8.6,469,"Some marriage proposals create turmoil between Ricky, the Laheys, and Randy.",https://www.imdb.com/title/tt0732918/,tt0290988,Three petty felons have a documentary made about their life in a trailer park.
