tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Vikings,1,1,Rites of Passage,"Mar 3, 2013",7.6,7859,"Ragnar goes on a trip of initiation with his son. Meanwhile, he thinks he has finally found a way to sail ships to the west. However, his beliefs are seen as insane so he chooses to go against the law.",https://www.imdb.com/title/tt2397391/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,1,2,Wrath of the Northmen,"Mar 10, 2013",7.9,6567,The stage is set for the first journey west by Ragnar Lothbrok as he gathers a crew willing to risk their lives to travel into the unknown.,https://www.imdb.com/title/tt2245914/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,1,3,Dispossessed,"Mar 17, 2013",8.0,6053,"After his successful raid, Ragnar and his crew joyously return home with their riches. Earl Haraldson doesn't hesitate to summon Ragnar to the great hall where he lays claim to the entirety of the treasure. He allows the crew to take one thing from the hoard and Ragnar selects Brother Athelstan as his slave. From Athelstan, he learns the political structure in England and wants to learn some of the language. Haraldson sanctions a new raid but insists that one of his men, Knute, join Ragnar's crew. Ragnar takes his wife this time and surprises everyone by putting ...",https://www.imdb.com/title/tt2245918/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,1,4,Trial,"Mar 24, 2013",8.3,5889,The Vikings head back to England to see what other treasures this new world has to offer. This go round Ragnar and his crew sail out with Earl Haraldson's permission.,https://www.imdb.com/title/tt2245920/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,1,5,Raid,"Mar 31, 2013",8.2,5713,"In the Great Hall of Kattegat, a seer reads Earl Haraldson's future and tells him that Ragnar Lothbrok searches for his death.",https://www.imdb.com/title/tt2245922/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,1,6,Burial of the Dead,"Apr 7, 2013",8.2,5654,"Ragnar, weak and still hurt, must meet the Earl head-on after it comes to light that Rollo has been tortured on Haraldson's orders.",https://www.imdb.com/title/tt2245926/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,1,7,A King's Ransom,"Apr 14, 2013",8.4,5665,Three Viking ships sail upriver towards the very heart of power in eastern England: the Royal Villa of King Aelle.,https://www.imdb.com/title/tt2245928/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,1,8,Sacrifice,"Apr 21, 2013",7.7,5662,"The traditional pilgrimage to Uppsala to thank the gods brings a torrent of emotions for Ragnar, Lagertha, and Athelstan.",https://www.imdb.com/title/tt2245930/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,1,9,All Change,"Apr 28, 2013",7.7,5515,"At the behest of King Horik, Ragnar assembles a small party to travel to Gotaland (modern day Sweden) to resolve a land dispute with the area's leader, Jarl Borg.",https://www.imdb.com/title/tt2245932/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,2,1,Brother's War,"Feb 27, 2014",8.5,5920,"The battle begins between Ragnar and King Horik's forces against Jarl Borg. Borg is joined by Rollo, and this Viking clash pits brother against brother.",https://www.imdb.com/title/tt3358048/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,2,2,Invasion,"Mar 6, 2014",8.2,4918,"Four peaceful years have since passed with Ragnar as Earl. The time has come for an unlikely alliance to band together in pursuit of a common goal - a new raid on England. A storm pushes the Viking fleet to a new destination, and on the beaches of Wessex, Ragnar and his men may have met their match.",https://www.imdb.com/title/tt2513378/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,2,3,Treachery,"Mar 13, 2014",8.5,5019,"The Wessex Viking raid is in full swing and King Ecbert finds himself facing an entirely new kind of foe. While Ragnar races to dominate in the West, Jarl Borg has his own plans in store for the future of Kattegat.",https://www.imdb.com/title/tt3358052/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,2,4,Eye for an Eye,"Mar 20, 2014",8.4,4799,A meeting between two great men may pave the way for future compromise as Ragnar and Ecbert come face to face. Jarl Borg now rules Kattegat and with an iron fist and Rollo must now become the leader his people need in Ragnar's absence.,https://www.imdb.com/title/tt3358056/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,2,5,Answers in Blood,"Mar 27, 2014",8.5,4776,Lagertha and Ragnar unite once again; Aslaug must face the truth of her prophecies; Athelstan struggles to define his faith; Bjorn must once again make a choice.,https://www.imdb.com/title/tt3358054/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,2,6,Unforgiven,"Apr 3, 2014",8.5,4820,King Horik returns to Kattegat with a surprising proposition for Ragnar; Lagertha runs into a less than enthusiastic homecoming from her new husband; Athelstan becomes confidant to King Ecbert.,https://www.imdb.com/title/tt3358060/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,2,7,Blood Eagle,"Apr 10, 2014",8.5,5113,Ragnar and King Horik clash over differences; King Aelle arrives in Wessex; Ecbert has an eye on a new alliance.,https://www.imdb.com/title/tt3390212/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,2,8,Boneless,"Apr 17, 2014",8.0,4467,Princess Aslaug's latest prophecy comes to fruition; Ragnar and Horik have very different ideas about the true purpose of their trip to Wessex.,https://www.imdb.com/title/tt3390216/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,2,9,The Choice,"Apr 24, 2014",8.6,4907,Ragnar's warriors march on to King Ecbert's villa and are met with a vicious surprise.,https://www.imdb.com/title/tt3390214/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,2,10,The Lord's Prayer,"May 1, 2014",9.2,8034,Ragnar returns to Kattegat after the defeat in Wessex and places his trust in those who have stayed by his side all this time.,https://www.imdb.com/title/tt3390240/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,3,1,Mercenary,"Feb 19, 2015",8.6,5419,Ragnar and Lagertha's fleets depart Kattegat once more for Wessex but this time they bring settlers.,https://www.imdb.com/title/tt3623674/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,3,2,The Wanderer,"Feb 26, 2015",8.1,4472,Lagertha and Athelstan help to set up the Viking settlement; a mysterious wanderer turns up.,https://www.imdb.com/title/tt3684666/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,3,3,Warrior's Fate,"Mar 5, 2015",8.2,4271,King Ecbert visits the developing Viking settlement as the first harvest is sown.,https://www.imdb.com/title/tt3685792/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,3,4,Scarred,"Mar 12, 2015",8.1,4273,"There is bitterness in the camp, Floki is angry over the alliance with Ecbert.",https://www.imdb.com/title/tt3685794/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,3,5,The Usurper,"Mar 19, 2015",8.4,4292,The fleet returns to Kattegat to discover tragic circumstances await.,https://www.imdb.com/title/tt3685796/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,3,6,Born Again,"Mar 26, 2015",8.7,5053,"Preparations for the Paris raid pick up speed, and Rollo thinks about the Seer's prophecy.",https://www.imdb.com/title/tt3685798/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,3,7,Paris,"Apr 2, 2015",8.0,4202,The Viking fleet causes panic in Paris; the Emperor Charles declares he will remain in the city.,https://www.imdb.com/title/tt3685802/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,3,8,To the Gates!,"Apr 9, 2015",9.2,6778,The Viking army sets out and Paris goes into lockdown as the army prepares the defense.,https://www.imdb.com/title/tt3685804/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,3,9,Breaking Point,"Apr 16, 2015",8.7,4721,The Vikings hit Paris with a second assault; Emperor Charles has to make a difficult decision.,https://www.imdb.com/title/tt3685808/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,3,10,The Dead,"Apr 23, 2015",9.1,6595,"With one last chance to take Paris, Ragnar and his Viking troops take a daring chance. Ragnar asks Bjorn for a favor that could change the course of Viking history.",https://www.imdb.com/title/tt3685810/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,4,1,A Good Treason,"Feb 18, 2016",8.5,4958,"As Ragnar lies in his sick bed in Kattegat, events unfold beyond his control.",https://www.imdb.com/title/tt4554702/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
Vikings,4,2,Kill the Queen,"Feb 25, 2016",8.3,4245,"Ragnar and Floki are still at odds; Rollo makes great attempts to win over his new bride, Princess Gisla; Bjorn's survival skills are put to the test; King Ecbert sets the task for his son Aethelwulf to rescue Queen Kwenthrith.",https://www.imdb.com/title/tt4793694/,tt2306299,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
