tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
Wentworth,1,1,No Place Like Home,"May 1, 2013",8.3,600,Bea Smith enters prison after being charged with the attempted murder of her husband. Bea is separated from her daughter and sent to Wentworth on remand. She is then forced to learn how the prison works.,tt2433738
Wentworth,1,2,Fly Me Away,"May 8, 2013",8.1,477,"In the aftermath of the riot, Will blackmails Doreen into helping him and Bea is given no choice but to continue to lie.",tt2433738
Wentworth,1,3,The Girl Who Waited,"May 15, 2013",8.1,467,Bea gets caught in between rivals Jacs and Franky. While Erica gets the staff offside with forced changes to the 'Wet Cells'.,tt2433738
Wentworth,1,4,The Things We Do,"May 22, 2013",8.2,434,Franky teaches Bea a tough lesson; Liz struggles with old demons; Franky stirs up new feelings in Erica.,tt2433738
Wentworth,1,5,The Velvet Curtain,"May 29, 2013",8.3,418,Erica can't escape her feelings for Franky and Bea reveals to Liz the truth about her marriage.,tt2433738
Wentworth,1,6,Captive,"Jun 5, 2013",8.4,409,Bea feels threatened when Harry says he may not be able to deal with their daughter any longer. Vera's mother reveals a long standing lie to the staff.,tt2433738
Wentworth,1,7,Something Dies,"Jun 12, 2013",8.7,405,"Bea pays a high price for crossing Jacs, whilst Franky gets her revenge and Will reverts to his old ways.",tt2433738
Wentworth,1,8,Mind Games,"Jun 19, 2013",8.9,417,"To gain back control of Wentworth, Jacs makes a final play to break Bea.",tt2433738
Wentworth,1,9,To the Moon,"Jun 26, 2013",8.9,416,"Bea is buoyed by the inmate's support, while Jacs's power further diminishes and Vera and Fletch's date comes to a humiliating end.",tt2433738
Wentworth,1,10,Checkmate,"Jul 3, 2013",9.3,492,The truth behind the riot is finally revealed and Bea confronts a killer leading to deadly consequences.,tt2433738
Wentworth,2,1,Born Again,"May 20, 2014",8.8,405,"Three months after Jacs death, new arrival Joan Ferguson makes an enemy of Franky, while Bea discovers a new purpose.",tt2433738
Wentworth,2,2,Whatever It Takes,"May 27, 2014",8.7,377,"Bea attempts to get revenge on Brayden by goading Harry into an act of violence, whilst Franky's determination to maintain power pushes her to extreme lengths.",tt2433738
Wentworth,2,3,Boys in the Yard,"Jun 3, 2014",8.9,378,"Following the failure of Harry to avenge their daughter's death, Bea hatches a daring plot to lure Brayden Holt to the jail.",tt2433738
Wentworth,2,4,The Danger Within,"Jun 10, 2014",9.1,384,Bea faces down an assassination attempt from the Holt clan. While new inmates enter the compound.,tt2433738
Wentworth,2,5,Twist the Knife,"Jun 17, 2014",8.8,358,Bea discovers Simmo has a weakness she can exploit for her own ends. Meanwhile Fletch and Will face off in a confrontation that will end their friendship for good.,tt2433738
Wentworth,2,6,The Pink Dragon,"Jun 24, 2014",9.0,381,"Simmo's attempt to kill Bea ends in tragedy, while Liz faces her greatest dilemma: to snitch or not to snitch.",tt2433738
Wentworth,2,7,Metamorphosis,"Jul 1, 2014",9.0,375,When Ferguson psychologically manipulates Vera she crosses a point of no return whilst Maxine orchestrates a desperate bid to see her spurned lover.,tt2433738
Wentworth,2,8,Sins of the Mother,"Jul 8, 2014",8.9,367,An isolated and paranoid Franky tries to uncover which inmate is leaking vital information to Ferguson.,tt2433738
Wentworth,2,9,The Fixer,"Jul 15, 2014",9.1,382,"When Ferguson discovers Doreen is the pregnant prisoner, the Governor threatens to have Nash's parole revoked unless she lies about the father. Will is publicly accused of an inappropriate relationship with Bea.",tt2433738
Wentworth,2,10,Jail Birds,"Jul 22, 2014",8.9,369,"Liz struggles to adjust to life on the outside and tries to reconnect with her estranged children. Meanwhile, Derek Channing tries to build his case against Ferguson.",tt2433738
Wentworth,2,11,Into the Night,"Jul 29, 2014",9.5,470,"As Bea and Franky go to war for control of the prison, Bea puts her daring plan in motion. Meanwhile, Fletch is on a downward spiral of self-destructive behaviour as his final day at Wentworth looms.",tt2433738
Wentworth,2,12,Fear Her,"Aug 5, 2014",9.6,559,The extent of Bea's plan is revealed as she makes the final moves to avenge Debbie's death. Meanwhile Franky realises she is losing the support of the women and is forced to consider a deal.,tt2433738
Wentworth,3,1,The Governor's Pleasure,"Apr 7, 2015",9.6,498,"Bea returns to Wentworth with a heavy charge over the murder of Braydon Holt, while Ferguson makes it clear that she owns Bea. Battle begins over the control of the prison.",tt2433738
