tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,encoded_title,show_desc
Whose Line Is It Anyway?,1,1,Show No. 103,"Aug 5, 1998",8.1,160,"Games include: Let's Make a Date, Sound Effects, Hats, Greatest Hits, Party Quirks, and Foreign Film Dub.",tt0163507,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.
Whose Line Is It Anyway?,1,2,Show No. 104,"Aug 12, 1998",7.8,116,"Games include: Let's Make a Date, Film, Theater, and Television Styles, Duet, Weird Newscasters, Moving People, Scene to Rap, and 90 Second Alphabet.",tt0163507,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.
Whose Line Is It Anyway?,1,3,Show No. 106,"Aug 19, 1998",7.7,104,"Games include Let's Make a Date, Scene to Rap, Hats, Weird Newscasters, Greatest Hits and Newsflash.",tt0163507,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.
Whose Line Is It Anyway?,1,4,Show No. 101,"Aug 26, 1998",7.9,82,"Games include Weird Newscasters, Duet, Animals, Props, Moving People, Party Quirks, Scene to Rap, and Foreign Film Dub.",tt0163507,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.
Whose Line Is It Anyway?,1,5,Show No. 105,"Sep 2, 1998",7.6,74,"Games include Let's Make a Date, Song Styles, Daytime Talk Show, Props, Film Dub, Sportscasters, Hoedown, and Stand Sit Bend.",tt0163507,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.
Whose Line Is It Anyway?,1,6,Show No. 102,"Sep 9, 1998",7.9,96,"Games include Let's Make a Date, Sound Effects, Daytime Talk Show, Props, Helping Hands, Hoedown, and 90-Second Alphabet.",tt0163507,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.
Whose Line Is It Anyway?,1,7,Show No. 107,"Sep 23, 1998",7.7,73,"Games include Daytime Talk Show, Song Styles, Moving People, Props, Party Quirks, Hoedown, and Foreign Film Dub.",tt0163507,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.
Whose Line Is It Anyway?,1,8,Show No. 111,"Dec 9, 1998",8.1,86,"Games include Let's Make a Date, Song Styles, Props, Party Quirks, Greatest Hits and Helping Hands.",tt0163507,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.
Whose Line Is It Anyway?,1,9,Show No. 108,"Dec 16, 1998",7.7,83,"Games include Superheroes, Song Styles, Weird Newscasters, Greatest Hits, Party Quirks, and Questions Only.",tt0163507,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.
Whose Line Is It Anyway?,1,10,Show No. 117,"Jan 6, 1999",8.2,84,"Games played: Questions Only, Song Styles, Newsflash, Sound Effects, Weird Newscasters, Scene to Rap, Hoedown.",tt0163507,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.
Whose Line Is It Anyway?,1,11,Show No. 113,"Jan 13, 1999",7.8,73,"Games played: Let's Make a Date, Film Theatre and TV Styles, Dating Service Videos, Weird Newscasters, Greatest Hits, Helping Hands.",tt0163507,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.
Whose Line Is It Anyway?,1,12,Show No. 119,"Jan 20, 1999",8.0,74,"Games played: Let's Make A Date, Duet, Newsflash, Film Theatre and TV Styles, Telethon, Hoedown.",tt0163507,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.
Whose Line Is It Anyway?,1,13,Show No. 120,"Jan 27, 1999",7.7,69,"Games played: Questions Only, Song Styles, Dead Bodies, Sound Effects, Weird Newscasters, Hoedown, Stand Sit Bend.",tt0163507,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.
