tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
X-Men: The Animated Series,1,1,Night of the Sentinels: Part 1,"Oct 31, 1992",7.7,895,"A young teenager has been rejecting her mutant powers ever since she discovered them. But when giant robots track her down, it's up to the X-Men to save her.",https://www.imdb.com/title/tt0751323/,tt0103584,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
X-Men: The Animated Series,1,2,Night of the Sentinels: Part 2,"Nov 7, 1992",7.9,790,"After breaking into the headquarters of the newly discovered government branch called The Mutant Control Agency, the X-men lose two of their own members in a battle with the Sentinels.",https://www.imdb.com/title/tt0751324/,tt0103584,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
X-Men: The Animated Series,1,3,Enter Magneto,"Nov 27, 1992",7.7,661,"As the Beast waits for his arraignment in court in front of an anti-mutant public, Magneto tries to break Beast out of jail, only to receive resistance from Beast. An old enemy of Wolverine's pops up, and the X-Men take him in. Magneto then attacks a military base, trying to bring mutants together against the oppression brought upon.",https://www.imdb.com/title/tt0751315/,tt0103584,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
X-Men: The Animated Series,1,4,Deadly Reunions,"Jan 23, 1993",7.7,616,"Professor Xavier and Magneto confront each other for the first time in years, meanwhile Wolverine and Sabretooth come face to face. Professor Xavier tries to examine Sabretooth's mind to figure out his rage problem. After his last terrorist action failed, Magneto plots a new one to bring Professor Xavier out into the open. Sabretooth and Wolverine confront each other in the mansion's war room.",https://www.imdb.com/title/tt0751313/,tt0103584,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
X-Men: The Animated Series,1,5,Captive Hearts,"Jan 30, 1993",7.3,592,"Wolverine has strong feeling for Jean Grey, but she's with Cyclops. Storm has a paralyzing case of claustrophobia and must overcome this as the X-Men venture into the New York sewers to rescue Jean Grey and Cyclops from a deformed race of mutants called the Morlocks. Storm confronts the leader of the Morlocks, Callisto, who wants Cyclops to rule beside her as king.",https://www.imdb.com/title/tt0751306/,tt0103584,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
X-Men: The Animated Series,1,6,Cold Vengeance,"Feb 6, 1993",7.8,571,"After leaving the X-Men, Wolverine looks for solitude in the arctic, but comes across Sabretooth, who's been tracking him. When the safety of a local tribe is threatened by Sabretooth, Wolverine must defeat him. Meanwhile Jubilee, Storm and Gambit do some investigating at an island resort called Genosha that seems to be a safe haven for mutants.",https://www.imdb.com/title/tt0751308/,tt0103584,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
X-Men: The Animated Series,1,7,Slave Island,"Feb 13, 1993",7.6,548,"Gambit, Storm, and Jubilee head to the island resort of Genosha... and end up as mutant slaves.",https://www.imdb.com/title/tt0751340/,tt0103584,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
X-Men: The Animated Series,1,8,The Unstoppable Juggernaut,"Mar 6, 1993",7.8,533,The X-Men discover their home destroyed and Professor X missing. Their search leads them to a titanic mutant who can become an unstoppable force.,https://www.imdb.com/title/tt0751347/,tt0103584,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
X-Men: The Animated Series,1,9,The Cure,"Feb 20, 1993",7.6,543,"Rogue seeks a scientist who claims to be able to ""cure"" any mutant of their powers. But is he for real?",https://www.imdb.com/title/tt0751343/,tt0103584,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
X-Men: The Animated Series,1,10,Come the Apocalypse,"Feb 27, 1993",8.0,551,An ancient and immensely powerful mutant called Apocalypse plots to destroy the world to bring in a newer more world.,https://www.imdb.com/title/tt0751309/,tt0103584,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
X-Men: The Animated Series,1,11,Days of Future Past: Part 1,"Mar 13, 1993",8.5,580,The mutant travels back in time to avert a future catastrophe.,https://www.imdb.com/title/tt0751311/,tt0103584,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
X-Men: The Animated Series,1,12,Days of Future Past: Part 2,"Mar 20, 1993",8.5,561,Gambit sets out to prove his innocence by thwarting an assassination he supposedly caused. Can he succeed?,https://www.imdb.com/title/tt0751312/,tt0103584,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
X-Men: The Animated Series,1,13,The Final Decision,"Mar 27, 1993",8.3,523,"Senator Kelly has been abducted by Magneto and given the facts about Magneto's goals of superiority of mutants over humans, the X-men's beliefs of peaceful co-existence between both races, and the Sentinel's plans of global domination. And must make a decision of his future plans in politics based on this information.",https://www.imdb.com/title/tt0751344/,tt0103584,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
X-Men: The Animated Series,2,1,'Til Death Do Us Part: Part 1,"Oct 23, 1993",8.0,478,"Jean and Scott get married. Newly elected President Kelly has freed Beast who has been incarcerated since the attack on government facility at the beginning of Season 1 and added him as part of his Presidential cabinet. Another friend who was thought to be dead at the same incident has resurfaced, but this time he's not so friendly. With the President's newly found pro-mutant point of view, the public feels betrayed are reacting with violence.",https://www.imdb.com/title/tt0751296/,tt0103584,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
X-Men: The Animated Series,2,2,'Til Death Do Us Part: Part 2,"Oct 30, 1993",8.1,464,"Scott and Jean are on their way to a secluded island for their honeymoon, but gets cut short by Mister Sinister. As Morph continues with his plans of revenge against the X-Men, he starts losing his motivation. But Mister Sinister makes sure he finishes what he started. The Friends of Humanity have began to rally.",https://www.imdb.com/title/tt0751297/,tt0103584,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
X-Men: The Animated Series,2,3,Whatever It Takes,"Nov 6, 1993",7.2,448,"Storm recovers from her injuries and returns to her duty as leader of the X-Men. When a tear in the astral plane appears in Africa, Storm goes there to investigate. It just so happens that the tear is in her home village. Meanwhile Xavier and Magneto are lured to the Savage Land in Antarctica and Wolverine continues his search for Morph.",https://www.imdb.com/title/tt0751350/,tt0103584,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
X-Men: The Animated Series,2,4,Red Dawn,"Nov 13, 1993",7.3,442,"Colossus returns home to Russia with Jubilee by his side. They are confronted by a newly revived Russian, life force absorbing, super soldier from the cold war, named Omega Red, who has a bad history with Wolverine. Xavier and Magneto continue their treacherous journey through the Savage Land.",https://www.imdb.com/title/tt0751334/,tt0103584,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
X-Men: The Animated Series,2,5,Repo Man,"Nov 20, 1993",7.6,429,"After Wolverine has been lured to Canada by an alleged message from his old friend, Heather Hudson, he finds himself fighting Heather's husband, Vindicator, and the Canadian super team, Alpha Flight, instead. Alpha Flight believes that they were only sent after Wolverine to get him to rejoin their team. However, their General Chasen has a more sinister agenda: to retrieve Wolverine's adamantium skeleton -- at any cost.",https://www.imdb.com/title/tt0751335/,tt0103584,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
X-Men: The Animated Series,2,6,X-Ternally Yours,"Dec 4, 1993",7.0,419,"Every ten years, The Assassins Guild and The Thieves Guild must each give an offering to a supernatural being called The X-Ternal, in exchange for power. When it comes to be Gambit's brother, Bobby, who has to offer the tithing this time, he comes up missing. The Assassins Guild want to exchange him for Gambit, so he can finally come face to face with the woman he left at the altar 10 years before.",https://www.imdb.com/title/tt0792903/,tt0103584,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
X-Men: The Animated Series,2,7,Time Fugitives: Part 1,"Dec 11, 1993",8.2,443,"Bishop returns from the future to again attempt to fix his world, but this time his actions lead up to a far greater tragedy occurring.",https://www.imdb.com/title/tt0751348/,tt0103584,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
X-Men: The Animated Series,2,8,Time Fugitives: Part 2,"Dec 18, 1993",8.3,442,"To stabilize his own timeline, Cable comes to the present to prevent Bishop from saving mutant-kind from Apocalypse's plague.",https://www.imdb.com/title/tt0751349/,tt0103584,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
X-Men: The Animated Series,2,9,A Rogue's Tale,"Jan 8, 1994",7.8,421,"Mr. Sinister send Mystique to destroy the X-Men while Professor X is lost in the Savage Land. Rogue starts having painful visions of a mysterious woman and they're literally driving her crazy when the mysterious woman possesses Rogue's body. Unknown to the X-men, this mystery woman holds some dark secrets to Rogue's past before she joined the X-Men.",https://www.imdb.com/title/tt0751299/,tt0103584,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
X-Men: The Animated Series,2,10,Beauty and the Beast,"Jan 15, 1994",8.0,411,"The Friends Of Humanity attack a hospital for the blind that Beast is working at. And Wolverine plans on tearing them apart from the inside. Beast and one of his blind patients, Carly, fall in love together. But Carly's father is a mutant hater and won't stand to see them associating with each other. When the Friends Of Humanity kidnap Carly for associating with a mutant, Wolverine, Beast, and the FOH come full circle. Meanwhile, in the Savage Land, Xavier and Magneto are struggling to survive.",https://www.imdb.com/title/tt0751300/,tt0103584,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
X-Men: The Animated Series,2,11,Mojovision,"Feb 5, 1994",6.2,418,"On a world ruled by Television, an alien named Mojo is master. When he abducts the X-Men and forces them to be action heroes in his shows, he may have to deal with more than he bargained for when Mojo's original action hero sabotages him. Xavier and Magneto are still slowly making their way through the Savage Land.",https://www.imdb.com/title/tt0751322/,tt0103584,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
X-Men: The Animated Series,2,12,Reunion: Part 1,"Feb 12, 1994",7.8,391,"Xavier and Magneto finally make their way back to Xavier's plane, only to be ambushed by some mutates. The new ruler of the Savage Land is revealed but not until they make a new ally. Morph sends a message to the X-Men revealing his location which provides an encounter with Mr. Sinister and his group of Nasty Boys.",https://www.imdb.com/title/tt0751336/,tt0103584,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
X-Men: The Animated Series,2,13,Reunion: Part 2,"Feb 19, 1994",8.0,398,"The X-Men are now in the Savage Land and are powerless like Xavier and Magneto, which leaves the X-Men open to being experimented on by Mr. Sinister. The only ones left to rescue them are Ka-Zar and Wolverine. Once everyone regains their powers, the Savage Land is restored. But what does the future hold for the Savage Land now?",https://www.imdb.com/title/tt0751337/,tt0103584,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
