tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Yellowstone,1,1,Daybreak,"Jun 20, 2018",8.4,2911,"John Dutton tries to protect his ranch from land developers, an Indian reservation and America's first national park.",https://www.imdb.com/title/tt7529124/,tt4236770,A ranching family in Montana faces off against others encroaching on their land.
Yellowstone,1,2,Kill the Messenger,"Jun 27, 2018",8.1,1981,"As the dust settles from the shootout, the Duttons deal with the potential repercussions.",https://www.imdb.com/title/tt8075156/,tt4236770,A ranching family in Montana faces off against others encroaching on their land.
Yellowstone,1,3,No Good Horses,"Jul 11, 2018",8.3,1826,The Duttons deal with a painful family anniversary. Kayce saves a young girl from danger. Jamie and Beth plan their respective political careers. Rainwater makes an ominous threat to the Dutton legacy.,https://www.imdb.com/title/tt8075160/,tt4236770,A ranching family in Montana faces off against others encroaching on their land.
Yellowstone,1,4,The Long Black Train,"Jul 18, 2018",8.2,1710,A secret about John comes to the surface; Beth shows Jenkins a rough night out; Quality time with Tate leads to a close call.,https://www.imdb.com/title/tt8075162/,tt4236770,A ranching family in Montana faces off against others encroaching on their land.
Yellowstone,1,5,Coming Home,"Jul 25, 2018",8.3,1648,"As Kayce feels the heat from tribal police, Jamie works his legal magic; Rip recruits a new cowboy; John makes a play to keep Kayce and Monica close to home.",https://www.imdb.com/title/tt8075166/,tt4236770,A ranching family in Montana faces off against others encroaching on their land.
Yellowstone,1,6,The Remembering,"Aug 1, 2018",8.2,1561,A new partnership threatens John and the Yellowstone; Jamie ramps up his political campaign.,https://www.imdb.com/title/tt8004480/,tt4236770,A ranching family in Montana faces off against others encroaching on their land.
Yellowstone,1,7,A Monster Is Among Us,"Aug 8, 2018",8.4,1540,Rip stumbles upon a dangerous and dire situation; A plan is set in motion designed to squeeze John and threaten his way of life; Monica begins a tough recovery.,https://www.imdb.com/title/tt7709938/,tt4236770,A ranching family in Montana faces off against others encroaching on their land.
Yellowstone,1,8,The Unravelling: Part 1,"Aug 15, 2018",8.5,1480,"Rip faces a sheriff's investigation after his accident with the tourists, Jamie's political future comes into question, and Beth goes after Dan's finances.",https://www.imdb.com/title/tt8075168/,tt4236770,A ranching family in Montana faces off against others encroaching on their land.
Yellowstone,1,9,The Unravelling: Part 2,"Aug 22, 2018",8.6,1623,"John discovers his true alliances, Rip searches for answers, Jamie's political career is threatened, Beth takes on a new role, and Kayce returns home.",https://www.imdb.com/title/tt7867214/,tt4236770,A ranching family in Montana faces off against others encroaching on their land.
Yellowstone,2,1,A Thundering,"Jun 19, 2019",8.5,1618,Kayce settles into his new role at the ranch; A damaging article threatens to expose John; Rainwater pitches his new plan to the tribal council.,https://www.imdb.com/title/tt8755438/,tt4236770,A ranching family in Montana faces off against others encroaching on their land.
