tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Frozen Planet,1,1,To the Ends of the Earth,"Mar 18, 2012",8.6,808,David Attenborough travels from the Arctic to the Antarctic to discover magical new ice worlds inhabited by the most extraordinary animal survivors on Earth.,https://www.imdb.com/title/tt2095246/,tt2092588,Focuses on life and the environment in both the Arctic and Antarctic.
Frozen Planet,1,2,Spring,"Mar 18, 2012",8.4,720,"Each spring, massive sweet water thawing rapidly transforms the polar regions and the surrounding seas, where broken-off ice floats to. This is crucial in the life cycle of many species, sometimes extremely elaborate. Many colonies (re)unite to mate, hatch and/or start raising offspring, especially in 'temperate' parts, such as South Georgia island.",https://www.imdb.com/title/tt2095243/,tt2092588,Focuses on life and the environment in both the Arctic and Antarctic.
Frozen Planet,1,3,Summer,"Mar 25, 2012",8.1,652,"In Summer, the non-stop sunlight fires an unrelenting thaw, transforming much of the polar regions into fertile land and open sea, while immense masses of melted sweet water pour into the oceans. Many species profit from the relatively benign conditions to mate, breed and raise their young. However for some, such as ice-bears, the lack of ice also causes major trouble... Read all",https://www.imdb.com/title/tt2095244/,tt2092588,Focuses on life and the environment in both the Arctic and Antarctic.
Frozen Planet,1,4,Autumn,"Nov 16, 2011",8.2,632,"After non-stop summer months, the polar regions have expanded maximally, abundant food turns even the bears sociable. However the shortening of days soon starts reversing the process as frost expands the ice again. So many seasonal migrations turn too, mainly leaving for warmer regions. A stunning exception are the 'giant' emperor penguins, who arrive to mate, lay and... Read all",https://www.imdb.com/title/tt2095241/,tt2092588,Focuses on life and the environment in both the Arctic and Antarctic.
Frozen Planet,1,5,Winter,"Apr 1, 2012",8.4,642,"The polar struggle to survive is even harder in winter, missing a single rare prey can be lethal. Well-adapted anatomy is crucial, but also tricks such as isolation with snow or preys' fur. The Antarctic is nearly deserted, except for seals and emperor penguins, even the slightly milder Artic is left by most species, failing to do so is a gamble which can exterminate ... Read all",https://www.imdb.com/title/tt2095247/,tt2092588,Focuses on life and the environment in both the Arctic and Antarctic.
Frozen Planet,1,6,The Last Frontier,"Apr 15, 2012",8.0,604,"The polar regions are earth's least hospitable environment, yet people live in the Arctic regions. Modern urbanized life is possibly even there thanks to technology, but some (often tribal) communities still practice traditional methods, dependent on specific fauna, such as reindeer herding, dog sleds, hunting seals and collecting bird eggs. Some of those are even use... Read all",https://www.imdb.com/title/tt2095245/,tt2092588,Focuses on life and the environment in both the Arctic and Antarctic.
Frozen Planet,1,7,On Thin Ice,"Apr 15, 2012",7.8,584,David Attenborough journeys to both polar regions to investigate what rising temperatures will mean for the people and wildlife that live there.,https://www.imdb.com/title/tt2095242/,tt2092588,Focuses on life and the environment in both the Arctic and Antarctic.
Frozen Planet,1,8,The Epic Journey,"Dec 28, 2011",7.5,457,Features the best highlights of the series spanning the entire polar year - from the depths of winter to the melting world of the polar summer.,https://www.imdb.com/title/tt2166859/,tt2092588,Focuses on life and the environment in both the Arctic and Antarctic.
Frozen Planet,1,9,The Making of 'Frozen Planet',"Apr 8, 2012",7.6,43,A behind-the-scenes special which follows the Frozen Planet film crews braving the elements.,https://www.imdb.com/title/tt11373898/,tt2092588,Focuses on life and the environment in both the Arctic and Antarctic.
Frozen Planet,1,10,Science at the End of the Earth,"Apr 8, 2012",7.3,408,"During the filming of Frozen Planet, the team got unprecedented access to film the story of the South Pole Station - the most extreme and remote scientific research base on earth. This film traces the history of the base, which began unwittingly with early explorers like Scott and Amundsen and their quest to be the first humans to reach the South Pole, dragging tools ... Read all",https://www.imdb.com/title/tt2329539/,tt2092588,Focuses on life and the environment in both the Arctic and Antarctic.
