tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
Narcos,1,1,Descenso,"Aug 28, 2015",8.9,8255,Chilean drug chemist Cockroach brings his product to Colombian smuggler Pablo Escobar. DEA agent Steve Murphy joins the war on drugs in Bogota.,tt2707408
Narcos,1,2,The Sword of Simón Bolivar,"Aug 28, 2015",8.5,6217,"Communist radical group M-19 makes a move against the narcos, while Murphy gets an education in Colombian law enforcement from his new partner Peña.",tt2707408
Narcos,1,3,The Men of Always,"Aug 28, 2015",8.5,5714,Murphy encounters the depths of government corruption when he and Peña try to derail Escobar's political ambitions by proving he's a narco.,tt2707408
Narcos,1,4,The Palace in Flames,"Aug 28, 2015",8.7,5642,"Despite a new extradition treaty, the U.S. puts more money into fighting communism, creating new challenges for Murphy and Peña in the hunt for Pablo.",tt2707408
Narcos,1,5,There Will Be a Future,"Aug 28, 2015",8.4,5222,Pablo's extreme methods put the narcos on the brink of war with Carillo and the government. Peña tries to protect his witness.,tt2707408
Narcos,1,6,Explosivos,"Aug 28, 2015",9.1,5830,Peña and Carillo close in on Gacha. Murphy tries to protect pro-extradition candidate Gaviria from a notorious assassin connected to Pablo.,tt2707408
Narcos,1,7,You Will Cry Tears of Blood,"Aug 28, 2015",8.6,5052,"Pablo goes into hiding as the political tide turns against him, but he finds a way to strike back. Murphy and Peña finally get the CIA to help them.",tt2707408
Narcos,1,8,La Gran Mentira,"Aug 28, 2015",8.9,5422,A tragic mistake forces the government to change tactics in the fight against Pablo. But Pablo faces bigger threats from inside his empire.,tt2707408
Narcos,1,9,La Catedral,"Aug 28, 2015",8.7,4959,"The hunt for Pablo seems to be over after he makes a deal with the government, but Murphy and Peña - and the Cali Cartel - have other plans.",tt2707408
Narcos,1,10,Despegue,"Aug 28, 2015",8.8,5378,Pablo's activities in prison provoke the government into taking extreme action. Murphy and Peña face a situation of their own.,tt2707408
Narcos,2,1,Free at Last,"Sep 2, 2016",8.5,4636,"In the aftermath of a massive military effort to take Pablo into custody, the family reunites while enemies worry. Steve and Connie fight about safety.",tt2707408
Narcos,2,2,Cambalache,"Sep 2, 2016",8.6,4395,Tata gets impatient with life on the run. Pablo responds to President Gaviria's reward offer. Steve and Javier meet their new boss.,tt2707408
Narcos,2,3,Our Man in Madrid,"Sep 2, 2016",8.6,4273,"President Gaviria has a new job for an old colleague. The Search Bloc's new tactics shake up Pablo, but also unsettle Steve and Javier.",tt2707408
Narcos,2,4,"The Good, the Bad, and the Dead","Sep 2, 2016",9.4,5645,The Cali cartel discusses moving in on Pablo's territory. Limón proposes a plan to Maritza. Tata gets a gun for protection.,tt2707408
Narcos,2,5,The Enemies of My Enemy,"Sep 2, 2016",8.6,4071,The Search Bloc gets a new leader. Javier loses faith in the system. Pablo brings Tata's brother Carlos down from Miami to cheer her up.,tt2707408
Narcos,2,6,Los Pepes,"Sep 2, 2016",9.2,4797,The newly-formed Los Pepes want to destroy Pablo and his empire. Tata's brother urges her to leave and seek safety with her children.,tt2707408
Narcos,2,7,Deutschland 93,"Sep 2, 2016",8.7,4186,"As the danger intensifies for the Escobars, Pablo sends his family to another country. Gaviria weighs the opportunity to use them as leverage.",tt2707408
Narcos,2,8,Exit El Patrón,"Sep 2, 2016",8.8,4159,Colombia begins to turn on Escobar after his latest terrorist attack. Tata receives help from an unlikely ally. Quica gets increasingly anxious.,tt2707408
Narcos,2,9,Nuestra Finca,"Sep 2, 2016",8.6,4117,Pablo is reunited with an estranged family member. Judy Moncada's life is put in danger. The DEA and CIA clash over how to handle Los Pepes.,tt2707408
Narcos,2,10,Al Fin Cayó!,"Sep 2, 2016",9.5,6761,Javier deals with the repercussions from Judy's interview. Tata tries to convince Pablo to surrender for the sake of his children.,tt2707408
Narcos,3,1,The Kingpin Strategy,"Sep 1, 2017",8.0,4153,The Gentlemen of Cali gather their associates together for a big surprise announcement about the future of their business.,tt2707408
Narcos,3,2,The Cali KGB,"Sep 1, 2017",8.0,3478,A gas incident threatens to destroy the agreement between Cali and the government and requires Jorge's help. Peña has problems with his old contact in Los Pepes.,tt2707408
Narcos,3,3,Follow the Money,"Sep 1, 2017",8.1,3410,The Rodríguez brothers are hiding during the negotiations. Pacho meets the Lord of the Heavens in Mexico. Peña's new DEA team visits Cali.,tt2707408
Narcos,3,4,Checkmate,"Sep 1, 2017",9.0,3674,Peña hatches a plan to try to capture Cali leader Gilberto Rodriguez. Amado proposes a business idea to Pacho.,tt2707408
Narcos,3,5,MRO,"Sep 1, 2017",8.5,3323,"Paranoid about leaks, Miguel cracks down on his security. Pacho makes a decision about his new offer. Peña works on cultivating a witness.",tt2707408
Narcos,3,6,Best Laid Plans,"Sep 1, 2017",8.8,3443,Jorge takes a dangerous risk. An accident in New York threatens to expose Chepe. Peña travels to Curacao to arrest a potential witness.,tt2707408
Narcos,3,7,Sin Salida,"Sep 1, 2017",9.0,3497,Peña plans another secret operation to topple a member of the Cali cartel but may run out of time while looking for him.,tt2707408
Narcos,3,8,Convivir,"Sep 1, 2017",8.7,3381,David seeks revenge on behalf of his father and puts Enrique in danger. Peña asks Don Berna for help on a rescue mission.,tt2707408
Narcos,3,9,Todos Los Hombres del Presidente,"Sep 1, 2017",9.4,4116,David follows his suspicions. Peña is shocked to discover the depth of corruption in the Colombian government. Miguel is sought after once again.,tt2707408
Narcos,3,10,Going Back to Cali,"Sep 1, 2017",9.2,3927,David and Peña are in a race against each other to find Pallomari. Peña makes a serious decision about the future of his career.,tt2707408
