tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,encoded_title,show_desc
Your Lie in April,1,1,Monotone/Colorful,"Mar 1, 2019",7.8,644,A former piano prodigy is about to discover that a seemingly small event can drastically alter the direction of a person's life.,tt3895150,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.
Your Lie in April,1,2,Friend A,"Oct 17, 2014",8.2,582,Kousei gets tricked into going to a performance by his close childhood friend and in that performance he starts to regain a shred of his passion.,tt3895150,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.
Your Lie in April,1,3,Inside Spring,"Oct 24, 2014",8.1,550,Kousei's friends work together to try to convince him to accompany Kaori at her next recital.,tt3895150,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.
Your Lie in April,1,4,Departure,"Oct 31, 2014",9.1,714,Kousai being Kaori's accompanist appears to be a bad idea.,tt3895150,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.
Your Lie in April,1,5,Gray Skies,"Nov 7, 2014",8.0,520,Kaori is hospitalized after the competition. Kousei thinks deeply that playing the piano is the only way he can live. Tsubaki gets asked out by her senior she had admired before.,tt3895150,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.
Your Lie in April,1,6,On the Way Home,"Nov 14, 2014",8.3,527,"Kaori wants Kousei to continue playing the piano, then she enters him for a competition. Kousei starts to practice hard with Kaori. Tsubaki realizes that she is jealous of her.",tt3895150,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.
Your Lie in April,1,7,The Shadows Whisper,"Nov 21, 2014",8.0,499,"Kousei isn't sure that he could master a set piece of music, it makes him feel sick. Kaori gives him courage. On the competition day, he meets his childhood rivals again.",tt3895150,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.
Your Lie in April,1,8,Let It Ring,"Nov 28, 2014",8.6,533,Takeshi Aiza and Emi Igawa. These two have a strong rivalry with Kousei. But what drives them to play piano?,tt3895150,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.
Your Lie in April,1,9,Resonance,"Dec 5, 2014",8.9,548,"It's Kousei's turn to take the stage, and everyone is waiting to see whether or not he will be able to play. How will he be able to perform with the memories of his mother still floating in his mind?",tt3895150,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.
Your Lie in April,1,10,The Scenery I Shared with You,"Dec 12, 2014",9.1,619,"Kousei's performance begins. He starts off on a roll, but then midway through, his playing begins to fall apart. Hearing this uneven performance, the audience starts to buzz. Are the rumors that Kousei can no longer hear the sound of his own playing true? In their hearts, Kaori, Tsubaki, and Watari cheer Kousei on from the audience, while Emi and Takeshi, who've just ... Read all",tt3895150,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.
Your Lie in April,1,11,Light of Life,"Dec 19, 2014",8.4,501,"The qualifiers are up, but Kousei is sure he already knows where he placed. Takeshi and Emi however are desperate to see how their greatest rival was marked.",tt3895150,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.
Your Lie in April,1,12,Twinkle Little Star,"Jan 9, 2015",8.1,490,"School broke up for the summer vacation, Kousei and Kaori practice for gala concert. Sometimes, they enjoy to play with fireworks including Tsubaki, Ryota, and Nao.",tt3895150,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.
Your Lie in April,1,13,Love's Sadness,"Jan 16, 2015",9.1,616,"It's the day of the gala concert, and it's time for them to go on, but as Kaori is a no-show, Kousei takes the stage alone. The venue is abuzz over the strange situation of the accompanist, Kousei, showing up onstage by himself. And so Kousei starts playing the song his late mother loved, Kreisler's Love's Sorrow.",tt3895150,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.
Your Lie in April,1,14,Footprints,"Jan 23, 2015",8.5,522,"Kaori has been hospitalized since the day before gala concert. Kousei went to see Kaori in the hospital with Tsubaki and Ryota. He gets a bad feeling because she reminds him of his mother. Meanwhile, Tsubaki has to face her mind honestly.",tt3895150,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.
